institution_id,associated_institution_seq,associated_institution_id,institution_relationship_type_id
4210119933,1,4210117810,3
2802295513,1,37076085,3
2800216316,5,4210131712,1
26437253,1,4210129463,4
2802106218,2,165862685,4
4210112577,5,4210143207,1
181369854,2,4210123192,1
4210138160,1,4210106698,1
4210119998,1,4210096427,3
4210123591,1,4588055,4
46603895,3,4210150834,1
4210090247,1,110525433,3
4210117042,14,4210155039,1
2799368139,1,141074466,3
4210156128,1,4210094263,3
4210113054,1,154526488,3
4210160682,2,84392919,4
2803048252,1,4210116194,3
4210124737,1,2799529266,1
4210159438,1,151201029,3
4210126678,2,4210123595,3
4210155600,1,240202130,3
4210099460,6,4210088668,3
4210109091,1,4210105924,3
4210157717,1,99542240,3
4210143797,7,4210146692,1
86767153,14,4210119860,1
4210096867,2,204730241,3
4210129169,2,48430043,3
4210117105,1,4210111566,3
4210107625,48,4210157513,1
26347476,3,2799796506,4
4210157817,1,151823869,3
4210085889,1,4210143657,1
4210131845,2,4210099528,1
1320343167,3,4210129606,1
4210091233,1,179420787,3
202391551,3,2800512976,1
4210087727,7,159885104,3
1315109972,2,1318344844,1
4210116259,1,1328445063,3
2800880919,1,2802595907,4
4210137680,1,2800016486,3
918821925,6,4210128625,1
15057530,6,4210104925,1
12411659,3,4210093484,4
4210158053,9,296100853,1
4210118971,1,4210131410,3
4210092791,2,1327163397,3
4210162446,2,12524447,4
4210155236,21,4210089156,1
4210135147,1,196454796,3
4210145477,1,174216632,3
4210148025,40,4210124937,1
4210104744,1,99542240,3
4210156527,1,4210142878,1
110525433,33,136830121,1
4210105756,1,4210155236,3
4210105383,3,90183372,3
4210100195,1,4210152314,1
4210124615,2,177064439,3
4210147382,1,2799851941,1
2802073232,6,4210160606,1
2802499799,1,2802096936,3
90669466,9,4210149414,1
4210121696,1,2801663869,3
4210138865,1,4210132005,3
19648265,3,4210131414,4
1319490839,4,15922215,1
2802410291,1,2799342587,3
2801792357,1,4210127926,3
4210144023,7,2799886695,3
4210155236,53,4210110717,1
4210142727,1,4210107757,3
4210098157,1,149766970,4
4210139279,1,8901234,3
4210092262,2,2799732796,3
4210136838,1,315704651,3
161675122,2,188538660,3
4210108711,1,4210142241,1
4210090873,5,4210112152,1
4210110862,2,4210122729,1
2802466933,3,2801065305,1
200719446,2,1299406639,4
4210129277,1,25974101,4
4210094622,2,2800285241,3
2802437833,1,185261750,4
5124864,2,4210122261,1
4210151816,6,4210164885,3
149851306,50,4210113132,1
4210088475,2,12315562,1
24768866,25,4210148896,1
2800453862,1,2801067519,1
4210145653,1,4210107625,3
171892758,4,4210133623,1
146824383,3,4210167048,4
887064364,4,4210114434,1
2799504885,1,28046988,4
37048141,10,4210100069,1
4210102712,1,866009140,3
4210127504,1,286970279,3
4210088209,8,4210092619,1
4210139871,1,4210098836,3
4210153766,1,4210150854,3
4210150491,2,84884186,4
59897056,3,4210154430,4
19820366,17,4210128491,1
4210162637,1,114982161,4
4210163188,3,198244214,3
204730241,50,4210120578,1
2802080466,14,2801500532,1
2801017582,2,141584323,4
4210108068,5,4210097125,1
4210124605,1,4210108655,1
4210157468,4,234216984,4
179420787,37,4210151296,1
1326498283,29,4210125654,1
4210144228,1,1299303238,3
315704651,64,4210110463,1
4210115083,1,198068145,3
4210162032,1,4210166509,1
4210124779,37,4210098289,1
2802445252,5,2800281165,1
4210118634,1,2801049993,3
263303288,2,4210113642,1
927257375,2,4210145651,1
2799517759,8,2799626625,1
4210135520,1,165476936,3
2801876189,3,1305996414,3
4210158834,6,4210111639,1
4210113540,7,4210089864,1
4210153270,1,4210119050,3
24768866,29,4210158346,1
4210133433,1,131827901,3
4210117924,8,2799886695,3
4210100995,1,4210088061,3
188626449,16,4210113963,1
4210108580,1,4210117513,3
99064381,10,4210115009,1
4210150854,42,4210116867,1
3129448551,1,4210110862,3
4210108700,2,63772739,4
4210156899,1,61970326,3
19700959,1,2801649442,3
858936495,1,4210111868,4
89199228,5,4210087094,1
1310421338,2,4210143443,1
4210151987,4,46529539,1
2799691083,6,78715868,1
4210148446,5,188626449,3
4210166371,1,202391551,3
4210092424,1,1289550199,3
1292875679,31,4210130959,1
1290491151,3,4210097010,1
84381889,1,4210111221,1
4210141025,3,98702875,3
103911934,7,206139757,1
4210136167,1,123791789,3
4210087444,1,63966007,3
4210154029,1,33585257,3
4210101908,1,2801037857,3
150149174,2,1285730425,4
4210151386,1,1330063522,3
4210125082,1,1332460256,3
4210134745,1,34276124,3
4210162122,1,4210104992,1
4210087757,1,4210088125,3
2803014381,1,4210126111,1
4210110442,1,86467917,4
4210150317,2,11559806,3
3923682,6,4210133251,4
95240055,1,2802096936,3
874055015,1,2801184099,4
4210094701,2,4210095849,3
4210124783,1,1316910977,3
2801339556,6,4210130564,1
2799886695,7,4210125302,1
4210092504,1,4210132699,1
32971472,2,2802074625,4
4210099903,1,2738502077,3
4210133524,1,4210137180,3
