work_id,reference_seq,cited_work_id
4205812123,68,818971265
3087278913,20,2772399647
2951284827,5,2062269467
4362672505,71,2565173888
2075977346,15,2312418938
2188817962,4,2051143457
4396490433,11821,4302777372
2126400671,44,2165798395
2003617244,28,2321414420
2762790672,10,2073889279
3157572256,23,2587728280
1987398155,9,1993452298
2797184350,61,2148964874
4247887042,42,2155009267
1608847048,7,1607189755
4386441539,10,2767636798
3033004881,134,2221376720
2021192824,16,588139653
1505887853,148,2106112334
3210911356,45,2611656267
4387521607,34,2558149015
4234268382,33,4230827337
2048077439,25,2099539089
3196037875,50,2508627673
2030098483,41,807349129
2917496704,101,2152156284
2904050718,121,2211102559
2818247738,73,2806783459
2957122568,14,2619846197
2065360545,4,1972726750
3186273239,43,2897591934
2094646122,28,2092793926
4210951205,38,2322173726
4382141330,1,1536298996
2757009515,121,2231874263
2799500507,15,2017568438
4313559021,9,2171685500
1995181975,24,2080205758
2141376075,4,2101316711
2151211566,19,2061758103
1732651185,229,2236393242
2947791248,25,2053395922
179258904,55,2022285476
3004191132,13,2786029744
4386498731,48,3045514307
1989248259,23,2072634555
2068508404,69,2099087348
4320494748,100,3197578749
2954811224,31,1953886921
3199332885,8,2017850232
2543516789,7,2539198515
4321366426,28,2963595330
2023997482,6,1972002912
1485685713,9,1683742771
2552889050,22,2068204482
2397847142,10,2025652380
2562997640,113,2616305484
2100837475,77,2071501185
2792130207,39,2248342873
2413128899,19,1988455141
2046807675,17,2012186625
2914382197,42,1999519988
2105058123,31,2058254764
4386209501,17,2107810840
4398245044,38,1996022985
2068098957,4,1994392629
2168004228,27,2045453838
2084153391,23,2024977515
1997073655,10,1997488035
2070737866,4,1984225890
4372349122,35,3148581246
2020329803,5,1990163407
1992774196,40,4251453901
163715490,3,2103777557
1984760396,23,2132901196
3004175467,7,2019223707
2965740620,11,2133491672
2770035122,8,2013161685
2263719861,10,1972840592
2904907420,7,1995920498
2765234801,11,2019356489
1996964213,64,2588514930
4210732414,5,1841429278
4393338759,20,4200290996
4390659332,52,4310055275
2131355600,74,4235738182
93292099,7,1583642593
2110988627,14,2039949677
4324358758,16,2060182828
2006018534,46,2329135514
4386693064,23,4386693064
1989789719,52,2129628205
1966322307,9,2038715317
3194001663,24,2496201640
2140991434,37,2078740437
2041261692,2,1489451174
93214631,19,2069389319
2913791452,30,2963114865
4287877385,4,1991369052
2066504231,6,1977134298
2102679635,279,2002391817
289269383,36,1998682465
2015290613,80,2156165031
3006665060,44,2913224982
3207764358,46,593211455
2023358098,5,1901365554
2033662254,19,2070410179
4283713095,49,2238668356
2999644931,9,2315888143
46501077,43,2272309526
4241899694,80,1978470283
2082065253,20,2019091241
2165983893,15,2098881266
2034511507,7,1571262084
2891563119,1,1968176185
3003626953,19,2030989926
2907148226,59,2045978947
2885074558,5,4243724710
2049449245,18,2092263132
2167923792,5,2168962033
2954954254,2,1595159159
3021436469,19,2095127846
2121382260,38,1608196387
2050560185,11,2009221323
4200195725,17,2772865603
3123916546,18,2099837005
2800805706,13,2039398275
4387865014,26,2141407461
2121707528,28,2087961595
4281719754,112,2128286184
4399013830,19,2030464761
2057503698,16,2106733825
2041798647,22,2156476474
2966842951,3,1523894241
2093770187,17,2019668101
3196213401,286,3004677321
3011616353,1,623693146
2015461373,26,2045319921
2980061255,66,2321095894
2892312309,42,2141099655
1984433804,4,1977891266
3155346999,22,2922031539
2495714505,68,2160608726
1997604781,6,2158804631
2074701283,8,2985771862
4400028111,68,4387371291
1495596339,3,1484758027
2263939758,54,2095034757
4239953003,12,2137417304
1544283022,10,2105850695
2912735206,122,2109565042
2886813807,9,1987451188
2062998807,5,2002629165
3203147425,16,2953228711
4291127973,46,2972841306
2954980436,6,2007385280
2038434933,13,2091597030
3081528037,17,2114894457
3094078514,5,2061981200
2865865009,12,2099940712
2898844941,23,2101653483
2057951946,21,3127124906
2064844315,31,2130459043
2994291224,10,2993309117
4387267863,48,3092288588
2085077002,50,2906730154
1926656369,8,2065640422
2800744001,11,2075052216
4394692706,4,2766147232
2004967840,8,4252452840
1976358917,9,2072892056
4396983729,401,2763922368
3041533557,29,2341960045
2136120416,650,3006226156
1989781265,5,2002052693
4389669636,72,3087850837
4401322247,7,2068045992
3159459108,8,1979955982
3125267480,30,3022866017
6027597,22,1987662503
2022388771,10,1967033333
4210580018,5,2045104506
4385272115,24,2072672031
2507392074,2,2147503887
2953597384,38,1988504759
3199950635,53,3023251276
2601879577,17,2577509003
2790510236,35,299769615
2042513394,22,2119330273
2734332716,13,2086665393
2056809446,15,2032577106
2077111119,11,2581449071
3095855965,28,2948387904
4392389482,9,2905204784
2039846598,36,2155909140
2074510137,23,2246856249
2750987011,3,2321854198
1975987926,104,4242373222
2263147110,46,2168955200
4388952130,45,3036062897
2066663070,36,2417837440
2064549072,7,2000185144
2199917160,23,2071270834
2080512138,20,2062602111
2078430019,3,1963928506
3193718995,15,2805341017
2047564794,3,1969480944
2150912924,14,2049607870
2988205894,53,2895822772
4235710927,69,2158228067
4320398929,375,91592976
2325164964,16,2229811234
1491516398,1,119412785
2590810053,5,1597537802
3047315961,89,2801914621
2044800783,16,2057217173
2108367307,1,1482007711
1965376161,3,1494464161
2149187978,11,2009355359
1972675711,20,2088330261
2165752962,17,1995200669
1980640944,11,2017628941
4399134359,27,2828078457
3171308541,26,4235281224
2907723160,101,628172195
2052594619,69,2491043248
2810026056,39,2226844929
2032105414,29,2111847282
2346556008,68,4245504819
4380576953,72,3165174273
2184870500,1,1529657828
3003512583,33,2937218369
2805063382,36,2078001845
4206689831,13,2077677554
1505577713,79,1979803648
4308898384,1,2008896976
4211039054,29,2090952558
2980702858,45,2166397129
2108335639,31,2057871570
2139170989,14,2015046754
2520260443,2,1966803032
249699680,9,1977682459
2049811161,26,2002375125
3204438256,154,2951499301
2765371747,21,2096118570
4316096049,26,4229371470
4321748472,13,2579533542
1996719017,16,2015514301
2125535566,17,2117747394
204634053,19,1984077222
2991270951,10,4302620943
2521465307,23,2207866281
2130705428,20,2100604402
1820180441,6,1487906362
2000950643,27,2023039263
380450602,3,1989774124
342373900,26,2175724
1600717164,4,2020064362
2021896094,16,2047035274
2954446319,31,2281769932
4396471096,1551,2184151797
3100590730,16,2007150370
3160791795,21,2782552667
9072335,2,1967344018
2900544780,41,2754324377
2791315592,4,1534449698
2901772960,25,2136180666
4302304002,38,3021509614
2908196369,3,1581443427
1957737980,42,2128635872
2079847446,32,2156228672
2586948497,40,2113427372
2990998667,10,2119199090
2198556320,44,2103116399
2155171128,2,120176386
1995827970,31,2093989032
2233421601,156,2140672160
2894473029,94,2197050467
2090319601,61,40757173
2290338631,13,1973656072
3116168442,30,2768491760
3092732593,18,2082480800
4395480907,120,4315620801
4386475669,43,2748677311
3174578848,28,2952547643
2767192134,7,1964259944
3173132843,4,3072699768
4307500158,34,2081487581
2078123986,14,2335166813
2939092270,33,2320858061
1964647548,8,2095127104
1505473461,33,1988682945
2395055090,25,2078944480
3152259323,7,2100117601
4327642357,1,1486317198
2532390448,30,2084520562
1968189423,57,2098902162
2560027609,2,1965324089
4254179297,12,1989757209
4211166995,348,2037332241
3159736176,21,3127383574
2068031883,20,2103006620
2461285162,18,2407869974
1989831262,10,2057029961
4388180758,13,2171937595
2783355536,20,3125033168
3089040521,107,3009051663
2069932765,7,199871210
4220864671,29,2134248676
2035244308,17,2038753313
4246688969,51,2072789113
3020175819,41,2275139239
4246468493,4,2001143428
4309685924,14,2112941029
4386630889,4,2045248519
2037368493,5,2007641639
4293073052,22,2044936883
1594723422,19,2002453414
4311147277,23,2109250419
4320152424,28,2037213176
2154827052,1,1965321226
2017001248,5,2021585613
2123713348,23,2147502381
2796105583,5,1974843821
1104989598,10,1985623009
4400572335,6,2028499172
2809114249,61,2207565062
2033738683,23,2102085957
4396864503,106,3124381591
4387971068,6,2903929962
4200606574,6,2088512923
1977001542,44,2035358971
2046758448,2,1909613615
2101478045,57,2435630212
2064098673,5,4245699357
2134637708,15,2036072376
3153207787,7,1990828426
2058737962,10,2062584177
2579958561,19,2042154143
2911615747,7,2119673667
4386027686,5,1994762459
2785824776,13,2302598509
3172702698,44,2061344308
862726402,1,1492066654
2896145329,21,2059390480
3130998010,12,2071994244
1994416861,8,2067080722
3094710761,10,1989172135
2063481915,77,2094912457
4386652049,18,4246633059
2804094654,115,591223590
2584847112,6,1522682642
2032284102,51,2326415694
658125071,26,1958505879
2767845283,47,2592671468
2109976287,22,2332067779
2159028770,76,4253217009
1979782237,1,2008615776
2000793077,3,1988119011
2593668923,34,2299526955
2045270332,44,2163866421
4294095977,43,4288111588
2792831892,8,2490668581
4211011265,89,2120504945
1974420926,67,2134085852
3148765319,15,2600208083
2504389462,1210,2114817324
3169615067,4,1737160807
2766381502,5,1969524738
2083900264,3,2002151188
2495716761,15,2004397217
2781327145,88,2265475584
1991958898,6,1977106683
1161946671,29,2008693968
4290944054,63,56207866
4391481402,21,4296295669
2963929939,20,2171535489
2485760186,18,2014967967
1986864751,20,2065997675
4388656454,12,2052707717
1175816207,61,2155263737
2046154093,37,2075310900
2165532404,28,2095969082
2072650608,48,2137923666
1953949451,28,2131131624
3125936681,9,1966156901
2887903426,7,1976958742
3120497107,43,2796307128
2135782683,4,1582812268
2118152078,13,1982562184
2999860850,4,2015320755
2070864357,4,2055996867
3161588075,9,2884270095
2889646274,13,1982735754
3198961107,21,3101778076
