work_id,related_work_seq,related_work_id
2367178455,6,2379740558
3022937793,4,2099195351
4396129959,1,4391375266
2857642368,17,1976056157
3032127132,6,2329643025
2065666310,7,1589203209
2796413589,1,381510049
2320702276,9,2047988129
2392919422,7,2053479943
3200126051,7,2267913355
2512208605,20,1482211858
4232336569,9,1993614010
4396906290,5,2504233681
3136167510,1,3193615524
4234760268,3,2390279801
1993593540,3,2036325470
3003901046,9,2271181815
2908693854,19,1499230401
4397905176,5,2093692263
4312177415,9,11365241
2597538491,1,2899084033
2182314169,3,2189272776
1999147027,8,1986764834
2045516074,6,2357486751
2556448779,15,2075341717
2885697173,7,2505405223
1999947490,10,1489914317
2486015279,8,2485259751
3198424135,7,2130187261
4394077388,9,1506200166
2030200538,9,1969730698
4237989347,6,2510370106
3030124492,5,2924299820
616259337,13,2580260559
2772549886,8,1995515455
1595811193,3,2165589438
2398074456,8,2568818278
303092241,2,3175319091
4231420990,6,2922049016
4206097937,9,2071470629
2950580494,4,2357658443
2318877282,4,2899084033
2807198292,10,190906238
3044460554,4,3144552443
801971949,11,2053091835
2005685849,9,1697407669
2359528168,3,2392572140
4255911222,9,2748952813
2046719278,9,1963547043
2095777675,2,574019201
1985278529,4,3015374717
2390273866,8,2375735962
45489710,16,2013739566
4238471181,6,2888133937
3042129613,20,1529301195
2088982671,4,2944231641
4319596050,5,2382290278
2118824056,3,2517132005
4213123773,6,2899084033
2288194028,2,3208674566
2073030510,2,2474155696
4392096790,4,3031052312
842072144,3,3146190835
2790682230,12,2057031514
2047127460,10,1526533287
2067932346,3,3032375762
3104436803,18,2276153025
3157062071,8,2300111457
2339972991,8,2053927960
2225853345,19,167873450
2115611764,8,2089123698
2807511010,9,175111254
4243898976,6,2376932109
2403012352,2,2404650407
2142275591,2,2964114900
4283788805,6,2548001078
2368421238,12,2381172281
3108673371,4,2950989499
2530553878,10,2584881791
2367422822,10,2558691755
2021541405,10,2003779385
1512221254,4,2161571691
2969810151,14,2914052597
1729185744,7,2609720787
2625686784,1,829869953
2303330669,10,1513324734
2522193759,2,438038740
2807919165,5,2383749768
875675787,13,2004337098
4391147289,3,3002753104
2117738670,2,2381321393
4292831661,6,2351066784
4398721711,10,2001405890
3101983049,1,656722669
2496837845,5,2748952813
2369188743,6,2468571623
2886113769,3,3209210054
4388831689,2,4206403881
3158169018,2,2950542460
2332175836,7,2899369661
3164331190,3,3038611724
2085055759,3,4287826478
2167401134,5,2758671261
2369888702,14,2370926792
2382293706,11,2352229899
2504466858,4,2899084033
3124886351,9,2097422415
4200357354,8,1971096106
4365398548,3,3135037491
2320872923,9,1530551881
2069568215,9,2094844283
2619585171,7,2035197528
1996734963,1,993965852
3186776855,1,601292351
2804360432,13,2973126655
4241283539,7,2748952813
4231413019,10,1984514811
4226244311,9,2382884
4281747308,10,1975451135
2511971817,20,1091798257
4362238012,7,2037514664
761350836,17,1999385123
1981498978,7,2000579318
2958668571,5,4200366873
4297234476,1,4386053707
2340897187,1,82123671
2188707732,1,620623479
3199215368,2,4308958578
4285620388,9,2740647293
2074453307,8,2748952813
2804802953,5,2773658767
2775249317,15,2058922783
1995479013,2,2899084033
4206434592,9,12544054
2392450607,18,2348970112
2415228005,6,2373994074
2070888408,5,2163435284
3153841680,15,2075819207
2079748004,9,2748952813
4241859701,3,2370310922
4212878607,5,48818
2185754716,18,2016695900
4302560075,7,2037747580
2204660336,9,2031266772
4241821792,8,2501996786
2981857566,8,2355996024
2267714692,3,3198932261
2996881504,10,2746961642
2394270037,6,2383275996
2802737729,4,2978237931
180005164,15,2255534576
2576194340,14,2916179466
3007940269,8,308143362
4253686513,3,4210361923
3004096188,20,1465002639
2002819109,6,2969997176
2345938418,3,582518043
3082758607,1,4379114818
2443864111,2,4323981789
615952688,6,2976402266
4237418359,1,3186982001
2803114618,6,2586801360
2417581790,1,3012411836
778020209,1,947816064
1966526182,5,2382290278
2363359067,13,2382532091
4382403996,5,2590425816
2025826515,10,2054182310
2564220165,13,2075422493
2064353332,4,2954332603
3031653406,10,2181229333
2147947310,2,2792333933
2803420521,5,2480356639
2986715750,16,2270724485
4247849375,2,2931662336
4232275749,4,2382290278
2056152163,4,2127527653
2464640486,7,2288760652
2024883371,5,2370382988
117974737,7,2921006411
2163454756,5,2319527532
2410957300,8,2460086230
4387118221,9,2119897479
1992280739,7,2039904623
4248946436,3,2765501931
2400132282,3,2896609434
4288430158,8,2057355744
2304139333,6,2470368186
2886686879,8,1995515455
2039577830,10,1912203308
2740768513,2,3083652935
2115160599,2,4320069808
3008091011,9,2320843454
2361649493,7,2384149577
2997358685,11,2189102272
3118855714,3,4213188200
2626895626,11,2582078984
4234329000,5,2748952813
2324060888,4,2772203032
318251253,11,2077064992
38782192,15,2278877228
561165317,19,1977366382
4230199791,8,2080531066
4244872241,2,3108674512
2905739688,15,2154669516
4397612287,9,1994850921
4210443725,3,3002753104
3110504075,5,3158998278
2367973314,13,2372649986
4237231433,3,2748952813
2339523800,19,137975242
2510431765,2,2948807893
2327663619,2,2210531927
4200093476,2,3129396458
2426476508,5,2748952813
4250615000,10,2001405890
2136365101,9,1672137312
2538032941,14,1965248659
3042600063,20,1602588631
