work_id,keyword_seq,keyword_id,score
2506552117,2,31590,0.583526
2099456813,2,35994,0.565169
4214868509,1,49230,0.8321048
2525783793,2,43424,0.562891
2593588040,1,5063,0.501089
2069254053,4,24246,0.52476
4205892617,1,29246,0.531404
2039704710,1,35957,0.539829
2001339797,2,3064,0.522663
2109276918,1,42103,0.550971
2029202691,4,20463,0.42224288
2283770975,3,50041,0.504746
2049032175,2,69418,0.47241774
2095406557,5,39511,0.43849918
2918768106,6,63375,0.4506637
4393281834,2,32942,0.50899124
100311568,1,36960,0.6855261
2005309084,3,28541,0.47053963
2365650219,5,35697,0.522438
4389984381,3,41734,0.508317
4293113918,4,65151,0.47338524
1994648675,1,57774,0.8072616
2063620814,1,38467,0.76888436
4223586133,2,40377,0.538785
2040331568,2,69009,0.519671
2468352528,1,21578,0.491036
3208687738,4,18168,0.52556
824895109,5,13362,0.42400062
572592428,3,42984,0.530246
4388867994,3,22550,0.504595
2323608541,2,46485,0.553685
2128979493,3,52370,0.50502974
4392995516,4,25587,0.512513
2127608701,2,60019,0.514272
4239509727,2,44464,0.636609
2022359377,5,43374,0.512821
2055291501,2,34763,0.5794155
3163654187,5,3973,0.539569
1582940805,1,21343,0.496328
2952071991,2,6918,0.49229944
4241710295,1,63222,0.84165823
2085980952,2,4743,0.51537627
4362697190,2,40418,0.509037
2513795218,5,96,0.550247
4243132367,3,29805,0.542477
2371163105,4,28431,0.41935673
3109452042,3,36461,0.523465
1858341563,4,23633,0.585502
67406048,2,52358,0.5503985
4396865189,5,61110,0.535379
4296656514,1,71225,0.537176
4389444875,1,32816,0.593189
2953202501,6,67895,0.518664
1986959279,1,61824,0.7484062
4299310767,2,39745,0.519603
2020672840,1,54832,0.483936
3113058433,2,36392,0.67788
2519317594,3,28228,0.547317
4200097256,2,43562,0.68194854
2973343576,1,44224,0.587314
3160622265,2,30748,0.482519
2072768046,4,48175,0.431864
2141415292,1,66058,0.83050215
4248253660,1,1567,0.489879
4367846707,1,17215,0.550913
2526330933,1,63527,0.509388
2370411056,2,26989,0.47497553
2187373423,2,13807,0.523321
2905944312,1,49475,0.543019
3194226703,4,9376,0.43277916
2417913274,1,23831,0.5934307
2940422877,3,69089,0.549161
2026164446,1,33325,0.532056
1977364508,2,60703,0.490839
4389958201,2,36533,0.563674
206929402,1,41775,0.496672
2106990492,1,44946,0.5633796
1515285325,1,34438,0.589578
4398239334,3,68142,0.47351316
4286500357,1,2703,0.46923
7141421,2,9581,0.510997
4381429983,3,58938,0.531684
3164250911,1,56833,0.479013
1944970573,3,4137,0.52463585
2064907241,2,58636,0.608094
3027658973,1,11847,0.6613802
2971261237,4,58685,0.44256356
4309923029,1,7565,0.593577
4400900155,3,67443,0.480668
2917978955,2,67957,0.487982
4213165894,4,26614,0.538439
2032432294,3,46680,0.504651
2992901611,2,41686,0.533484
3000227782,4,36315,0.41186285
2109983204,3,37310,0.513236
3094326015,4,40087,0.514912
4388582912,1,11879,0.4967144
4220740315,8,14184,0.42023176
2117250368,4,6226,0.546455
3017302710,1,33560,0.471838
2409690293,3,59577,0.618241
2138356005,3,52846,0.553716
3134514890,6,12917,0.5207946
2004489754,6,57344,0.5480391
4386558591,1,28338,0.8983953
2195666967,2,71020,0.532076
2207223057,2,70216,0.526202
172986413,2,1287,0.481675
3122101358,1,59576,0.9171759
2755722561,2,55874,0.514077
1982052642,3,67364,0.530558
2564621936,3,20843,0.584686
2000371764,4,32783,0.43504953
282077547,1,33712,0.63259363
1503167619,1,22179,0.511949
243830415,6,1339,0.500057
3091616287,4,53753,0.571365
2487369451,1,18858,0.7439915
2996036334,4,63099,0.50044
2065128015,1,48210,0.77018636
2479281826,6,63712,0.4454796
1975338314,1,29829,0.9765259
2369160296,1,36816,0.542297
1985430552,4,50766,0.509795
184442953,1,61373,0.61938965
2024840591,4,43296,0.532371
4245272413,3,40263,0.641643
4241329101,2,19754,0.4268
2992775244,5,38351,0.507219
1605706966,3,59348,0.49265033
2404652045,2,9445,0.473529
196052167,1,8893,0.573189
2612604436,6,1812,0.4475445
1992329231,5,64934,0.42576122
2059170124,3,15995,0.6738975
95889854,1,13737,0.491849
1517607520,1,27972,0.8957726
3027684726,2,39185,0.584462
3091786287,1,47710,0.6093035
2265118600,1,36111,0.54755056
4301224268,4,13661,0.570195
4252695920,3,49861,0.557581
4229908322,3,31586,0.516173
2130565196,4,38698,0.521979
4281626329,4,21550,0.518047
4231454253,2,58558,0.62347627
2749204235,3,38077,0.525554
4213187365,3,24196,0.634581
2607171793,1,47338,0.502984
4378650483,1,33674,0.484854
2376702667,5,20119,0.518075
2006677494,3,34117,0.547082
4287898382,3,32048,0.577502
153571451,1,2637,0.637795
2738140574,4,8838,0.57539
2765424151,5,46991,0.540028
2411957496,8,27041,0.46525675
4240316929,3,28994,0.47269252
2495179307,2,53701,0.501934
1865124081,1,66233,0.7091702
2181401572,7,52778,0.504224
4246683014,2,62414,0.550902
1973317195,1,18477,0.5660106
4214770327,1,64503,0.735741
1969747959,2,34397,0.53222
2002259387,3,23671,0.466412
3187629112,1,64401,0.60846704
2003443389,2,12913,0.56082165
2577185499,1,63830,0.9275869
3094288806,3,55388,0.52163297
610858728,2,33392,0.408395
4292737078,3,29510,0.56611365
2936790158,2,6267,0.511023
1974929035,3,6950,0.48975492
3087370325,2,1532,0.511527
4396774822,1,69179,0.5148217
2969127828,2,16339,0.581568
2867672800,2,9264,0.49288392
2436785245,3,49340,0.515221
3167221680,6,47288,0.45675027
2064669483,2,54493,0.507005
2000515502,2,29043,0.6058974
267974174,1,4103,0.76144195
2392329678,4,33527,0.42222708
2516562576,2,34395,0.524935
2884286932,2,17363,0.5401349
4236246271,2,18879,0.514968
4238568528,2,59969,0.503299
2042461540,1,55878,0.9539199
2742192701,3,10608,0.536826
301717555,3,18094,0.539494
236109311,4,58282,0.536205
3018105684,5,25611,0.508008
1586115512,1,28423,0.740714
4366084613,3,43898,0.496623
4254160088,2,56013,0.577319
4237121166,5,60046,0.508327
2769686467,2,5663,0.44474
1540901316,3,59461,0.515569
4235843916,1,44932,0.96393716
133396442,2,56628,0.594974
2023957786,2,10963,0.5495091
2239141958,3,21610,0.541803
2316918638,2,36368,0.562196
2060873758,1,38834,0.411667
1967398587,2,43281,0.487316
4286855826,3,60270,0.532841
2595546410,2,69552,0.567653
2035375379,4,36399,0.5234
770224139,3,64709,0.503901
390868144,5,34820,0.418364
2767960901,3,27882,0.410173
2004936825,7,20405,0.44288546
2269958374,3,41475,0.45951927
2795885967,1,3646,0.543251
2415983614,2,53325,0.536168
573633210,2,14764,0.568132
2415962367,3,52851,0.510202
4226173111,3,38660,0.606288
2411208287,1,50083,0.7611247
4387555258,1,51382,0.703969
3171442105,1,32246,0.6828336
4400710136,1,22742,0.5937696
2952484929,2,55231,0.580134
3041687996,3,70726,0.603843
744437871,5,61887,0.484371
2968886597,1,55891,0.9400683
2132601204,2,49527,0.7666137
2046810464,1,30392,0.56545
3112451275,9,22888,0.4225917
4393014061,5,36849,0.53965
2030910540,1,29854,0.7923345
3146073651,1,30349,0.426213
3089015787,6,6444,0.507638
1967663792,3,19856,0.523409
2167154298,3,57293,0.52386
