work_id,author_seq,affiliation_seq
2043667496,1,2
3153274362,5,1
1997364629,2,2
4321367803,8,7
2766119977,20,10
4394370104,9,91
4231921578,1,1
2604805566,9,1
2418141907,6,1
2006582912,2,2
3017065712,2,2
1996216078,4,2
3101860781,2,1
1580308072,5,1
4237012506,1,1
4385655679,214,6
2094837025,2,1
4379803090,7,2
4353029263,15,1
4390882541,4,1
2900804184,3,3
2762899244,2,3
2563408898,1,1
2360222947,1,1
4226426508,9,1
4285155992,6,7
4200145056,4,4
2053361178,2,1
4391925533,2,2
373058160,2,1
2776407963,1,1
2299186794,3,1
3088799969,3,2
4386757530,3,1
4399996169,6,5
3153363138,1,1
4385308543,9,2
1444667885,4,1
3103042200,44,19
2586079060,1,1
2146986087,2574,77
1999446083,1,1
1993069905,2,4
2469062678,7,2
2049189720,2,1
4396939089,1,2
1570021706,6,2
124327916,4,1
4383501899,2,1
2154102422,3,3
2078192518,1,1
2017268653,1,1
1975860943,2,1
3176273907,10,8
2008687680,1,1
2650429706,3,1
1969279098,2,2
2312620293,4,2
2790433147,1844,138
2134758500,6,1
3107393585,1,1
4386408577,3,5
2624762855,6,1
4318753952,1,1
2050939368,2,1
4297326632,2,7
2235328796,4,1
4308398729,12,2
2087404031,3,3
3097760300,3,3
2117476018,6,1
2014804908,4,3
2029865040,2,2
3133019215,7,7
1998838336,7,1
2082895192,1,1
4313529135,5,5
135390721,6,4
4393173495,3,1
2219334232,10,1
2891945727,5,5
2012050798,1,1
2065573642,2,2
4240893292,7,2
2367935967,1,1
2053216971,3,3
1997283816,3,2
4321524380,3,3
1992491168,1,1
1979322157,3,1
4386713538,4,2
3214148217,1,1
4394077589,8,19
2924075510,1,1
2141292034,2,2
1964134820,4,1
3080862892,2,4
2088782782,2,1
2799030138,1,1
3021193532,2,1
2977735081,1,1
1966191006,1,1
4254690699,8,5
2069095608,2,3
2591412142,1,1
2742979764,1,1
4295910525,13,3
3127366028,4,5
2013365404,5,1
2067135428,1,1
