concept_id,ancestor_concept_seq,ancestor_concept_id
52970973,1,154945302
100560664,2,197855036
5733905,4,71924100
2910530332,4,2779234561
86132830,5,121332964
178127533,1,15195413
2781240563,11,71924100
2776754050,10,126322002
158746014,3,77088390
119577978,5,2776955114
2781046861,2,179104552
2776185860,6,18903297
56907000,5,2524010
2777081216,7,86803240
2776460866,3,89423630
2780588462,2,2779538911
64375194,8,86803240
2778378633,1,2777701055
14518398,2,68801617
64980429,3,170493617
2910123053,5,54355233
506757014,1,167633797
2910255311,5,521977710
136961756,4,55493867
200953241,4,142362112
76408418,9,41008148
2779407169,11,71924100
20056189,6,124369789
31250377,6,162324750
103545067,1,81917197
2776230795,5,178790620
2988944679,1,132651083
121838276,3,97355855
2778155685,3,529295009
2781174913,4,71924100
58922158,22,11413529
2780790343,10,2779338263
72832162,4,119599485
2779904531,2,173758957
124149750,1,178790620
94412978,4,185592680
68781425,3,41008148
40567965,5,119857082
2779841645,4,178790620
72615636,2,512554520
92720285,2,156622251
57711820,2,55493867
135405054,11,185592680
176553487,3,41008148
147887874,2,36289849
34778079,6,86803240
42611778,1,107706546
2780842732,3,526869908
2777331311,17,205649164
103284512,4,142362112
21652263,1,142225936
28435686,1,199579030
2991661194,7,126322002
2993691076,5,121332964
2908550172,6,86803240
76717707,10,93779851
174493125,8,31972630
2778210392,1,204787440
2781187514,8,548081761
2777284241,5,55493867
2776182073,5,154945302
2775908076,5,180747234
2780050217,10,178790620
2779545206,6,144024400
2910926394,5,71924100
2993791317,4,15744967
2776146729,4,62231903
89249532,5,162324750
2776319529,3,104317684
121448008,4,97355855
2779391198,7,54355233
122907437,9,41008148
91810186,5,55493867
169806903,4,105795698
65764964,7,86803240
2777312010,4,118552586
101199243,8,205649164
2778062832,5,71924100
33175817,2,149782125
2910430321,7,199343813
158557763,10,105795698
2778484087,4,199539241
2779404267,6,86803240
55615164,6,121332964
133386390,6,121332964
2779690655,8,86803240
2776461190,1,41608201
172395734,2,158846371
179034447,3,138885662
2781378139,5,86803240
2780777981,12,127413603
126661757,3,41008148
6295992,4,31258907
2777015399,2,126322002
2778525397,2,41895202
4188701,1,159785203
86932348,2,196558001
31782201,2,17744445
2777210258,10,71924100
100752510,1,7910260
203224028,5,127413603
6314898,1,145420912
2781379145,8,86803240
2780611167,3,58640448
140577478,10,95457728
612350,2,119599485
2777222942,5,205649164
78609370,6,127413603
77438856,6,144133560
2776917539,3,187212893
2779330695,3,86803240
94293008,1,159985019
2778574215,4,71924100
189695362,7,62520636
3020745361,1,2780352672
2778315978,5,120665830
2779714933,8,143998085
2992755650,1,2776459890
135715101,3,62520636
2909357949,6,178790620
2993561819,5,71924100
144796933,5,185592680
2778146052,5,1276947
109364679,2,62649853
2776422119,8,127313418
19577693,5,185592680
2780019300,16,71924100
2991833021,3,142362112
2779478871,2,2778004101
2779030997,1,59822182
2780567184,3,141071460
172338258,1,113461152
203702658,5,33923547
2778721783,2,502942594
2909959250,3,55493867
2778187894,2,147789679
33375987,1,172252984
40417578,7,119599485
2779214877,5,62520636
49511088,9,153294291
129990765,5,178790620
128582244,3,107457646
2781249610,2,199360897
2778135468,1,2779248279
180591934,4,127413603
173990801,8,178790620
30452754,3,199360897
130452526,6,127313418
77791780,1,127813850
2780876779,2,43143990
39308869,2,41895202
183211740,1,99414536
48289651,8,126322002
185325338,7,138885662
2779877921,3,18903297
120305227,5,86803240
2776048318,6,71924100
7869135,5,120665830
2779026634,8,105795698
3946865,3,181199279
2777892113,5,127413603
64057670,1,78045399
2779566948,7,121332964
2775934670,6,192562407
2780876210,4,55493867
2910751650,2,127413603
126909462,6,173608175
2993921914,2,55493867
111683008,4,54355233
2777118263,1,523546767
18969341,3,86803240
2779589313,3,55493867
59919655,1,9233905
185579658,4,33923547
26336911,16,111919701
2781190966,2,2776694085
2779591118,11,71924100
193690875,6,120665830
2909819767,3,141071460
2777218256,1,1633027
2779621813,2,27206212
96175551,2,26546657
3020434087,2,60987743
48010095,3,54355233
3018975166,5,86803240
538168058,2,185544564
195993236,5,86803240
3019882237,6,71924100
2910589926,6,144024400
2781224309,3,86803240
2983632452,11,127413603
2986058073,4,74650414
156080657,23,121332964
2779638872,4,33923547
112243037,2,104317684
97329493,5,185592680
21176728,4,11413529
2778819740,5,159047783
193525677,18,121332964
3019814559,3,54355233
2908587580,8,127313418
23913935,1,130217890
2908848679,6,71924100
2780600689,7,86803240
37590093,1,115811362
2994496059,4,126322002
3019300132,2,202444582
72688512,5,121332964
2780724529,12,86803240
2777482740,2,2779473830
89096908,9,17744445
2983220686,1,22088475
63258622,4,178790620
2779408567,3,169760540
4229060,5,144024400
2994558038,3,42360764
203133693,1,166957645
178635117,3,41008148
2776355146,7,121332964
32300475,4,55493867
2781190568,2,43144210
193794138,7,104954878
8213797,3,134018914
519688237,7,199539241
3020064188,1,512399662
153015087,5,185592680
145316831,3,86803240
2910733768,2,71924100
2777134132,3,71924100
66339696,5,143998085
2910833680,4,134018914
2991744738,4,10138342
115466790,4,181199279
87115717,3,2991912374
27081682,1,204787440
2779870332,1,21036866
58772458,14,71924100
2781298600,3,71924100
3019662062,1,2776552330
46865736,1,158693339
2780523633,1,55493867
71832216,3,166957645
24857813,16,192562407
2778615650,3,118131993
13200473,1,19165224
28289500,3,126322002
2779797317,5,192562407
2776026683,7,121332964
2778960736,3,166957645
43656286,2,119599485
201878434,8,191897082
164280684,7,15744967
2777596839,4,163258240
2778212192,10,62520636
2779884234,3,18903297
2776595061,4,121332964
2910786564,1,2780954326
2781433485,1,1513209611
2780572849,4,86803240
132379496,8,46141821
118694661,3,18903297
158535547,1,51955184
2776263037,9,71924100
2776250341,2,105702510
2777001439,2,165705269
55721878,9,71924100
125576049,11,127413603
2779747408,2,78519656
88519622,7,121332964
2777043721,5,86803240
2777344775,4,120665830
80167644,14,33923547
554144382,1,52119013
104654189,5,2778562939
2908882559,1,2778097013
2777977426,4,86803240
2775941666,6,71924100
110521144,3,62520636
2986440788,3,111368507
10777958,8,178790620
2780780085,5,184235292
194291561,6,144133560
2776869563,4,18903297
180296930,4,203014093
2909511158,3,3013748606
2778680573,6,86803240
2994206189,3,33923547
2778496132,4,194828623
71515424,4,4839761
170814935,2,185592680
134431854,3,62520636
35637245,4,136764020
2986379492,4,2779306644
33411773,10,86803240
2777289228,5,41008148
2910508445,4,126322002
2779055493,4,126322002
2780083220,1,166957645
64554109,7,86803240
2779900937,3,16005928
2779769603,5,49040817
62802119,5,33923547
48216909,1,6183050
191068436,3,41008148
2776373379,3,178790620
23123220,1,41008148
3019340110,3,512399662
128240485,3,55493867
73707237,5,127313418
95565831,1,173110770
139278185,4,41258723
2781152039,6,104317684
2910802351,3,116675565
30838235,9,111919701
2776344727,3,34447519
