raw_author_name_id,raw_author_name
50882704,Mary Snaidman
88682537,吴隽平
57341035,None Nizmah A.Bahasoan
97151713,I Kasi
22467685,F. Al Azzawi
73918490,T. V. Stashkova
22929278,Fabrice D'Almeida
101119865,Norshima Zainal
32818407,J Munuera
3334487,Alameda Aragoneses
21299719,Emma R.L.C. Vardy
50168394,Mario Amador Tutillo Oña
300842,A Lane Morrison
77089198,V. N. Maximova
65041619,Richard E. Halsted
63083693,R. Leroi
99784242,N Neagos
57550682,None Б. К. Жумабекова
78794164,W. D. DeMis
42568880,L. F. P. AGUIAR
19387651,E. Beyhan MERİÇ
50850286,Mary K. Bloodsworth‐Lugo
72147932,Starr LaTronica
71758629,Songül Taş
102950223,"TADAHIRO, KURASAWA"
4670648,Amapola De Sales-Millán
53765944,Monconduit Mf
2984832,Ahmed N. Ouda
69423053,Schrager A
51753234,Mehdi Rezagholizadeh
92006776,美春 阿部
8014842,B Doehle
64388080,Raymond Montigny
1326876,A. Roobeek
37227473,Jonsonuk
97920182,Juan Felipe Suárez Niño
89864152,彭洪秋
57165941,None Hemlata Kosare
36570874,João Vitor Provesi
40557387,Kebede Seifu
80655839,Xuewei Peng
88337608,최혜진 ( Hae Jin Choi )
42679371,L. M. F. Quadros
51051871,Massimiliano Tedeschi
73120058,Susanne Cutshall
41861883,Kristin Stacy Artim
67284935,S. D. Arden
62397135,Qiongbing Liu
36114749,Jie Kang
54227103,Muhammad Borahn Uddin Talukdar
18143816,Dinesh V. Bhagat
57250401,None Leitl
6380657,Anne-Claude Doux
48561347,Mallorie Kerjouan
11235396,C. E. Schwalbach
15409149,D S Wales
38638490,Jung-Min Han
74264479,Takeshima Toshi
44812636,Liu Ji-li
50081268,Marilise Venske
89853113,彩子 小野寺
43914201,Leon Christo Bezuidenhout
64178056,RaphaÃ«l Nowak
63704048,Rafael Esparragoso Vázquez
80104824,Wolfram Braun
89164203,孝 枡本
25191436,G. S. Domingues
38758419,Justine Alcocer
4137012,Ali Safavi Naini
9789561,Bikash Chandra Deb
43050776,LafranceR.
70399116,"Sheh, Alexander"
83478435,Δεσποινα Παπακωνσταντινου-Διαμαντουρου
38691338,Juozas Algimanta Krikštopaaitis
32168027,Isabel Cristina Weiss de Souza
98787071,M Bagni
94299684,Andressa L. de Vasconcelos
82832018,Zhan Zeqiang
36506969,Joanne Stempak
61558190,Piccioli R
58195145,O. Roeder
54730200,N Rashydov
30308495,Hotchkiss
34131294,Jacamo R
104127878,بنیان بانی الرشیدی
60452284,Patrício Macêdo de Sousa
3485027,Alberto Perez-Martin
92471179,西牧 眞里
70270522,Shaoshen Guo
66937170,S Hodanish
41550870,Koji. Suzuki
77109669,V. P. Lipatnikov
33733190,J.A. Marcella
76524911,Ujjwal Bhattachariya
4151004,Aliaa Aliaa Al Sabbagh
101405697,Panetir Bunkes
102985977,Tanya K. Cormier
7994727,B Bobek-Billewicz
79384481,Wassila Maafi
89000305,大輝 杉浦
48530145,Małgorzata Sankowska
12822894,Cen Zhi-song
46777609,M. Dritto
92190946,苏亮 司
18166354,Dinh Quang Minh Nguyen
25076600,G. L. Golub
4830183,Amman Ullah h Bhatti
102837242,Suseeva Danara
98325110,"Krishnaveni Arumugam, Et. al."
15981983,D.J. Wilner
67340042,S. Faccendini
93782136,A. J. Baglioni Jr
60578438,Paul Eckert
35556770,JENNIFER L. KAISER
10972023,C Hjort
38175654,Juan Moises Mauricio Villanueva
35675818,Jeremy A. Webber
59781662,P.A.J. van den Bogert
70802738,Shompa Akter
38230771,Judd Campbell
76782630,V Goltvyanitsa
19599261,E. M. Pisarenko
33351149,J. L. Matwale
70721361,Shirley Goldman
73635609,T. B. Rao
31643071,Ilia Kuzmin
4047771,Alfred Zeidler
72480229,Steven C Lands
93289248,韩秀梅（校对）
49505525,María F. García
82969719,"Zhaoyang, Ruixue"
58957339,Oscar S Rothaus
56028755,Neamat Ullah
65660427,Roberto Albuquerque Bandeira
56026723,Neal Schiller
38524788,Julieta Luján Mozzoni
68768568,Sandra Keir
95541805,Davi Ribeiro Dantas Luiz
23203847,FATEMA SEDDIQ
79520128,Wellington Fazzi Cancian
17387615,Deichmann Karl-Joachim
23891387,Florence Wu Tse
99705706,Muhammad ad-Dasuki Amin Kahila
38458235,Julianna Marie Burke
58231641,O. V. Zueva
29391567,Heinrich Kochendörffer
70657864,Shin-Cheng Huang
4929748,An T. H. Le
54951967,N. Lartillot
8701545,"Baker, Jr., G. A."
8031334,B Girault
61672179,Pınar Doner Guner
2937401,Ahmed  A Alburakan
1760048,A.L. Souza
5875140,Angela M. Tucker
44520208,Lina Marcela Hincapié Guarín
90509622,李平伟
30020675,Hirotake Yamazoe
66505967,Rudolf Heindl
49331789,Maria Barbero-Liñan
56231102,Newton M. Perrins
30889847,I Morais Vilaça
33250419,J. Handsor
30463733,Huang Chih-Fen
38868184,K H Mafinejad
25091317,G. Lozano-Blanco
87142300,문동성
49721419,Maria Psyllaki
13406885,"Cheng, Chengcheng"
92010795,美江 合谷
34739859,Janaque Fernando
5536723,Andreas Vaks
92768547,達郎 島田
29240171,HE Qing-li
33377689,J. Lowenau
36005091,Jia-Jun Tu
75192157,Thinh Phuc Tran
86007775,أ.د. مصطفى عبدالله خشيم
68414094,Salim S.H.F. Neto
19185874,E H Rashid
69582863,Sebin Bok
61419963,Philip Cotter
44891146,Liviu-valentin Bălănescu
33693327,J. Wickis
14338081,Claire Haresnape
65144594,Richart Khalil
94138238,Alice M Police
4865097,Amrendra K Sharma
31101005,I. M. Luque
63908372,Rajendra N Paramanik
38289824,Juel Ormsby
1989150,Aaron S. Rapaport
4430276,Almuth Klingner
29650695,Henry Cloete
40876366,Kerryn Howlett
1669344,A.G Zavidnaya
20602310,Elena Morns
48262935,Maha Mohamed Azab Elzeiny
66426504,Rozzano C. Locsin
53971546,Morisawa Yuka
63502780,R.S Dodd
21336020,Emmanuelle P. Kleinlogel
51126191,"Mathew, Thomas V."
34474004,James Claude Valentine
4646080,Amanda R Mortimer
31482208,Ifa Abdujelil
62542534,R C Grafstroem
6172557,Anna Elisabeth Nordbø
55522423,Nancy B. Thompson
92991992,钟宝东
58130147,O. Igwegbe Anthony
73010267,Surlemont Y
78397356,Vishwatman Pathak
99140321,Marcial Cerruti
25949765,Gena M.A El Makromy
97452557,J. G. J. Sloot
66382634,Roxana Hirjan
70917529,Shukritte
91516900,田澤 壽
61556750,Pica Monica
92565677,谭华颖
94000028,Ahmed  O Noori
104044723,М. В. ОНАЙ
30972540,I. Ashrafi Tamai
