source_id,issn_seq,issn
195337790,1,0931-1793
4210179962,1,2085-7934
4210178800,1,1145-3370
4210220354,1,2058-7449
2913074404,2,2383-7810
159088426,2,1429-2955
4393919792,2,2941-1696
4387281615,1,2687-2730
4210236535,1,2541-4402
4210173179,2,2159-0850
2765006704,1,0103-1090
4210222229,1,1805-4951
4210224256,1,0987-4135
4393912015,1,0027-7460
4210224250,2,2605-3314
4210238557,1,2252-0821
4210215011,2,2435-7383
86805193,1,1567-8822
4210235634,1,2619-2608
4210204300,1,2045-435X
98791934,1,0106-9543
4210237147,1,2580-2852
4210193111,1,1862-1147
4210194904,1,0538-4680
18897651,1,1750-9548
4210196129,1,1094-9313
4210224108,1,2654-9751
50818479,1,0303-1179
2764830874,2,1948-7894
4393914346,1,0301-4991
7883441,2,1557-8402
4390963374,2,2837-5319
4387285982,2,2957-8507
4210213923,1,2502-4825
4393916270,1,0905-2070
4210235178,1,0171-2160
32610980,1,0022-0957
121340289,1,0045-7906
4210238798,1,2673-1665
4210192233,2,1745-3208
4210182833,2,2214-7330
2487069870,1,1698-580X
163917399,2,1468-4470
4210209403,2,2420-823X
4210236412,2,2640-3951
4210210112,1,2444-121X
204021516,1,1374-8505
4210176643,1,2620-9810
4210215199,2,1304-3846
167142470,1,1875-452X
4210201697,1,2715-7512
4210202319,1,0255-6286
4387282709,1,2747-2574
174019123,2,2331-3706
4210232592,2,2634-6621
4210187698,2,2614-865X
2738791962,1,0809-1668
2764874002,1,0277-7789
4393913838,1,0199-6304
4393918618,1,2398-2764
204056873,1,0009-8337
4210204183,1,2699-9625
4210203582,1,2616-7174
4210228635,1,2694-4391
195488530,2,1541-3810
4210196331,2,2385-2682
4387281363,1,2667-808X
4210198713,2,2579-552X
137436721,2,1524-0711
2764549716,1,0385-6798
4210225608,2,1476-539X
4387283491,2,2685-5461
4210182308,1,2309-0758
58085280,1,1398-5647
4210178548,2,2367-0991
4210232743,1,2193-2336
2738338074,1,2238-0701
4210168892,3,2066-8244
4210231155,1,2567-8833
4210206025,2,1904-4348
4210210609,1,0369-2795
4210233833,1,0853-862X
4210228404,1,2006-5523
4387289818,1,2222-2499
2764785507,1,1558-6162
4210195632,1,2710-5067
4210224088,1,2587-2427
4210216919,1,2083-327X
4210224316,1,1431-8601
4210172326,2,1925-4733
4387281624,1,1503-5034
4387291893,2,2960-1320
4210217276,2,2512-5257
4210175121,2,1999-1649
4210239748,1,2618-060X
4210233516,2,2657-1560
2738192206,1,2011-6721
4210214988,2,2107-0997
4210192482,1,2682-4361
4393911595,1,0013-0567
4210168873,2,1435-862X
4210193898,1,2747-1489
4220651413,1,2589-6644
4210186092,2,2515-1096
84312819,2,1948-7177
152998702,2,1089-8611
4210224475,2,2657-599X
4387284535,1,2797-3107
4210187628,1,2226-8812
9189501,2,1748-2968
2764609795,2,2059-0644
4210212221,1,2450-3088
21299057,2,1934-8010
4210197856,1,2630-5313
4393916030,1,0884-6782
2754801518,1,0026-4881
4210187432,2,1314-8575
160686149,2,1531-5088
4210195116,1,1338-0494
4210174965,2,2040-6142
4210197673,1,1816-9112
4306517677,2,2092-1616
2764973561,2,2213-5154
4210178583,1,0011-1619
60350835,3,1531-7064
4210239531,1,0078-7787
