institution_id,lineage_institution_seq,lineage_institution_id
4210146499,1,4210146499
2801027606,1,2801027606
89004649,1,89004649
4210136455,1,4210136455
4210152998,1,4210152998
4210152790,1,4210152790
4210088069,1,4210088069
4210118876,1,4210118876
2800251061,2,1306490931
4210116172,1,4210116172
4210153377,1,4210153377
2801220108,1,2801220108
4210113202,1,4210113202
4210150719,1,4210150719
4210105151,1,1294671590
4210100167,1,4210100167
4210102446,1,4210102446
4210116638,1,4210116638
4210163700,1,4210163700
2802127592,1,2802127592
4387153530,1,4387153530
4210092448,1,4210092448
4387152207,1,4387152207
4210115089,1,1292875679
4210090244,1,4210090244
4210099143,1,4210099143
4210108312,2,4210108312
4210092415,1,4210092415
4210156521,1,4210156521
187476118,1,187476118
4210146274,1,4210146274
4210087811,1,4210087811
2801284277,1,2801284277
29739308,1,29739308
193114190,1,193114190
34077533,1,34077533
4210108061,1,4210108061
4387156148,1,4387156148
4210166443,1,4210166443
4210114123,1,4210114123
4387154401,1,4387154401
4210143094,1,4210143094
4210122476,1,190752583
4210089960,1,4210089960
4210158866,2,3141573830
4210119962,1,4210119962
4210101832,1,4210101832
2799349826,1,2799349826
4210146279,1,4210146279
4387153411,1,4387153411
48697060,1,48697060
4210144092,1,4210144092
4210151235,2,4210151235
159299179,1,159299179
4210128818,2,4210128818
4210090292,3,4387156119
4391767914,1,116953780
4210153732,1,4210153732
4210135583,1,4210135583
4210159652,1,4210159652
4210163285,1,4210163285
4387154841,1,4387154841
893812157,1,1330989302
4210095776,1,4210095776
4210146417,1,4210146417
65156104,1,65156104
4210113009,1,4210113009
44457188,1,44457188
4210119126,1,4210119126
4210114970,1,4210114970
4387156180,2,4387154902
200432940,1,200432940
2614128279,3,57201433
169689159,1,169689159
4210135996,3,4399657933
39587148,1,39587148
4210108200,3,4210108200
4210099512,1,4210099512
4210124557,2,1336096307
4210091642,8,4210139971
4210102281,1,4210102281
4210137582,4,203339264
4210142664,1,2801009177
4387152941,1,110017253
4210147672,1,4210147672
2801549625,1,2801549625
4210105965,1,4210105965
859956996,1,859956996
4210149629,1,4210149629
4210125289,2,4210152461
4210099907,1,4210099907
4210098195,1,4210098195
4210090658,2,4210090658
4210134310,1,4210134310
4210148791,1,4210148791
4387154806,2,4387154806
4210132026,1,4210132026
4210111888,1,4210111888
2802394142,1,2802394142
4210164601,1,4210164601
4210090927,1,4210090927
4210150171,1,4210150171
4210140135,1,1313416372
4210086234,1,4210086234
161513276,1,161513276
4210107468,1,4210107468
4210138314,1,4210138314
4210145694,1,4210145694
4210146828,1,4210146828
4210162870,1,4210162870
4210152100,1,4210152100
4210129535,1,4210129535
4210153402,1,4210153402
4210149701,1,4210149701
4210143713,2,4210096333
4210146890,1,4210146890
4210160415,1,4210160415
4387152596,1,233209018
4392021211,1,4392021211
4387155539,2,4387155539
4210103546,1,4210103546
4210087766,1,4210087766
4210143619,1,4210143619
4210093788,1,4210093788
4210146449,2,4210146449
4210160530,2,4394709176
4210148847,1,4210148847
4210145311,1,4210145311
4210130723,1,4210130723
135140700,1,135140700
4210134973,2,4210087105
4387153945,1,4387153945
4210145633,1,4210145633
4210157723,1,4210157723
4392738205,1,4392738205
4210154109,2,4210154109
59897056,1,59897056
4210114339,1,4210114339
4210132934,1,4210132934
4210125223,1,4210125223
4210090941,1,202697423
4210126618,1,4210126618
4210138667,4,4210131494
2801267896,2,4210113900
4210155246,1,4210155246
4210155163,1,4210155163
4210106238,1,1313323035
4210138113,2,39804081
121100312,1,121100312
2802826102,1,2802826102
4210096939,1,4210096939
4210113138,1,4210113138
4210118537,1,4210118537
4388482697,1,4388482697
4210096225,1,4210096225
4210133487,1,4210133487
2802994541,1,2802994541
1334950195,1,1334950195
4210101990,1,114030911
4210092941,1,4210092941
66883779,1,66883779
4210089462,1,4210089462
4387155244,2,4210107720
4210120204,1,4210120204
4210110752,4,4210110752
4210119548,2,95549939
4387154497,3,4387154497
4210099913,1,4210099913
