source_id,apc_price_seq,apc_price,currency
139192911,2,3250,EUR
4210209610,1,0,USD
51842380,1,1900,USD
30970080,2,3340,EUR
4210187809,1,0,USD
20900890,1,0,USD
38090728,3,1870,GBP
35512523,2,2160,GBP
166781098,2,1485,GBP
2764754586,2,3390,USD
13663286,3,1780,GBP
130329595,3,2630,EUR
4210207939,1,0,USD
161302385,3,2560,GBP
4210183127,1,0,USD
162486132,1,3450,USD
58631098,2,3680,GBP
4387288365,1,0,USD
81947917,4,398880,JPY
66051165,1,2940,USD
2764822511,1,800,USD
4210207810,1,0,USD
199247034,2,2010,EUR
12699048,3,2790,GBP
107690564,3,1990,GBP
4210223519,4,134830,JPY
87494164,1,675,USD
157763648,1,11151,ZAR
4210193419,1,2335,GBP
4210194123,1,0,USD
4210182591,1,0,USD
163499366,1,3050,USD
25866431,2,1750,GBP
207254130,1,2290,EUR
2764685389,1,0,USD
19400458,3,1990,GBP
2764752735,1,0,USD
51842380,2,1730,EUR
957709288,1,0,USD
4210196664,1,500000,IDR
2738021499,2,650,EUR
2737301719,1,0,USD
4210183927,1,0,USD
2764449704,1,2750,USD
72902805,1,4070,USD
30317932,1,0,USD
2764690847,2,500,USD
133626053,3,2550,GBP
17577527,2,2990,GBP
105764114,2,1900,GBP
199498439,1,4430,USD
2898425895,1,2940,USD
2764889581,3,2090,GBP
4210206899,1,0,USD
4210232178,1,0,USD
97691390,2,3770,EUR
21029587,3,1970,GBP
2739130986,3,5500,EUR
2738145777,1,0,USD
2764658079,1,2790,EUR
178650970,3,3270,GBP
132751470,1,3290,USD
20365629,2,2990,USD
91067379,1,4177,EUR
39041608,1,3220,USD
4210214221,1,150,USD
186219999,1,2290,EUR
2736447579,1,0,USD
4210181256,1,0,USD
2764468994,1,2000000,IRR
4210214990,1,250,BRL
2737095833,1,0,USD
145023809,3,2980,GBP
33108253,1,2390,EUR
2736361170,3,4700,GBP
54043040,1,2290,EUR
4306519571,1,250,EUR
4210238655,1,1750,GBP
2764707789,1,2000,EUR
2898609469,4,477530,JPY
4393918712,1,0,USD
119745230,4,406740,JPY
4210171838,1,0,USD
2738232315,1,614,USD
4210179897,1,0,USD
2765002792,1,0,USD
176313377,3,2290,GBP
198684006,1,1625,GBP
128470386,2,1750,GBP
156106415,1,1000,USD
133853345,3,2090,GBP
99078529,4,410110,JPY
21282222,3,2090,GBP
4210209401,1,750000,IDR
4210191068,1,0,USD
4210214168,1,329,USD
10043949,4,324720,JPY
49393431,1,980,GBP
4210212133,1,1000,USD
4210173403,1,315,EUR
4210210466,4,231460,JPY
2738069703,1,0,USD
111148215,1,100,USD
4210214931,1,0,USD
4210218640,1,0,USD
4210238371,2,3490,USD
144298576,2,2990,USD
193466101,4,387640,JPY
206198396,3,1990,GBP
2765022306,1,0,USD
4210167928,1,0,USD
2737062989,1,0,USD
24484104,1,3090,USD
2735234564,1,1650,USD
13895637,1,2790,EUR
2736373470,1,0,USD
168861512,1,0,USD
142306484,1,3350,USD
2764633379,1,600,GBP
2898442875,3,2530,GBP
4210168086,1,500000,IDR
2737976626,1,0,USD
4387278648,1,0,USD
4210188111,1,0,USD
154050210,2,3390,USD
4210176407,1,0,USD
61969038,1,2940,USD
4210173238,1,250,USD
4387280446,1,0,USD
14125373,1,2890,EUR
48346357,1,2000,USD
4210173579,1,0,USD
4210239570,1,0,USD
