publisher_id,alternative_name_seq,alternative_name
4310319943,12,OZ Verlag
4310319944,1,oekom
4310319945,3,BMJ出版集团
4310319954,4,Nederlandse Chemische Vereniging
4310319955,2,Historia de los lenguajes de programacion
4310319960,1,The Union
4310319964,3,Collier Books
4310319964,7,Macmillan and Company
4310319964,11,Macmillan Company
4310319964,15,Macmillan Publishers Limited
4310319964,18,Macmillan Publishing
4310319964,22,The Macmillan Group
4310319964,26,麦克米伦出版社
4310319965,1,エイプレス
4310319967,4,Oldenbourg Verlag
4310319970,4,ASC Leiden
4310319972,3,Springer International
4310319973,1,"Science China Press., Co. Ltd."
4310319982,2,China Science Publishing & Media
4310319982,6,Chinese Science Publishing & Media Ltd.
4310319982,10,"Science Press, PR China"
4310319984,1,UNIUD
4310319984,5,Universitas Studiorum Utinensis
4310319986,4,VS Verlag
4310319987,2,Boom uitgevers B.V.
4310319987,6,Koninklijke Boom uitgevers B.V.
4310319989,1,Stämpfli AG
4310319993,3,Universities Space Research Association Lunar and Planetary Institute
4310319997,1,CMS
4310319999,4,Thieme Verlag
4310320000,4,Thieme Verlag
4310320006,3,Société américaine de chimie
4310320007,1,Nauka
4310320007,5,"Всероссийское объединение издательских, полиграфических и книготорговых предприятий ""Наука"" Российской академии наук"
4310320007,9,Издательство Российской академии наук
4310320007,13,俄羅斯科學出版社
4310320009,2,"Академиздатцентр ""Наука"""
4310320009,6,Издательство Академии Наук СССР
4310320009,10,МАИК «Наука/Интерпериодика»
4310320009,14,科学
4310320017,2,セージ・パブリケーションズ
4310320017,6,SAGE Publications Ltd
4310320019,3,Verlag Dr. Otto Schmidt KG
4310320020,2,Verlag Berger
4310320021,4,Ernst und Sohn
4310320026,1,Vittorio Klostermann
4310320028,2,Verlagsgruppe Beltz
4310320029,4,Wissenschaftliche Verlagsgesellschaft
4310320036,2,Verlag Moritz Diesterweg
4310320047,1,Masaryk Institute and Archives of the Czech Academy of Science
4310320052,2,ABD Ulusal Bilimler Akademisi
4310320052,6,Academia Nacional de Ciências dos EUA
4310320052,10,Académie nationale des sciences des États-Unis
4310320052,14,Americká národní akademie věd
4310320052,19,Amerika Qo'shma Shtatlari Milliy Fanlar Akademiyasi
4310320052,23,Národní akademie věd USA
4310320052,27,National Academy of Science
4310320052,31,National Academy of Sciences of the United States
4310320052,32,National Academy of Sciences of the United States of America
4310320052,36,United States National Academy of Sciences
4310320052,40,US National Academy of Sciences
4310320052,44,Zientzien Akademia Nazionala
4310320052,49,αμερικανική Εθνική Ακαδημία Επιστημών
4310320052,53,Національна АН США
4310320052,57,全米科学アカデミー
4310320052,61,米国立科学アカデミー
4310320054,3,Éditions de la Nouvelle Revue française
4310320054,7,Èditions Gallimard
4310320054,11,Folio
4310320054,15,Gallimard (maison d'édition)
4310320054,18,Groupe Gallimard
4310320054,22,دار غاليمار
4310320054,26,Ґаллімар (видавництво)
4310320055,1,Édition de Minuit
4310320055,5,Éditions de minuit
4310320055,9,Les Éditions de Minuit
4310320055,13,Эдисьон де Минюи
4310320056,4,Editions Larousse
4310320056,8,Larousse publishing company
4310320056,12,Издательство Ларусса
4310320056,17,ラルース社
4310320058,1,AAAI
4310320059,3,ENS Editions
4310320060,2,Sociologický ústav AV ČR
4310320062,3,ISI-Science
4310320063,1,Lectito BV
4310320065,2,Habelt
4310320066,1,Actes Editions
4310320066,5,ACTES SUD
4310320066,9,éditions Actes
4310320068,2,Sociedad Americana de Oncologia Clinica
4310320070,3,Armand-Colin
4310320070,7,Librairie Armand Colin
4310320072,4,CMA
