concept_id,umls_cui_seq,umls_cui
2777618409,1,C0023402
2911222091,1,C0086620
2779780233,1,C0050156
2777028655,1,C0014230
34814297,1,C0941360
2780939464,1,C0320240
190612196,1,C2239174
2910210001,1,C0003153
50493954,1,C0087044
117035363,1,C3826173
2781167935,1,C0030247
2777975735,1,C0026926
2779074116,1,C0007066
197012351,1,C1708248
2911042503,1,C1527388
140167661,1,C1999909
509243982,1,C0003050
2909086917,1,C0771469
2777097888,1,C0028692
2777895762,1,C0178448
2909003343,1,C0007194
2777445857,1,C0034665
2909453981,1,C0424322
526903357,1,C0035930
176524297,1,C0005529
2778382403,1,C1709075
2775886748,1,C0323332
136403682,1,C0017526
35496256,1,C0598067
2778505178,1,C0949994
3019255331,1,C0079613
2780838160,1,C0175559
2776176941,1,C4744588
2779294768,1,C0744042
2780094635,1,C0001208
9343608,1,C0870195
135763542,1,C0017431
2778615784,1,C0010345
2776353733,1,C0524831
2777771103,1,C0012624
2909831755,1,C0164786
2910063291,1,C0036537
76775654,1,C5205795
2778905298,1,C0040207
2781370004,1,C0060760
2776237055,1,C0007550
2778823008,1,C0183919
2778301690,1,C0038679
2775841634,1,C0019903
2779611605,1,C0003015
189014844,1,C0449475
31254050,1,C1152375
2781458332,1,C0270611
2778993516,1,C0071677
2779546866,1,C0596448
2777795800,1,C0023267
2776529864,1,C0870979
2781060337,1,C0720930
96781048,1,C1522706
120228162,1,C0025148
2993183539,1,C0035243
34343649,1,C0018905
3673659,1,C0162703
175025161,1,C0179547
2778313320,1,C0035309
2776500997,1,C0877851
89798329,1,C0039154
2776229602,1,C0015691
33191230,1,C0042284
2779390152,1,C0162724
2777016536,1,C3179073
2776684213,1,C1998467
41054675,1,C0005463
2777447553,1,C0001214
2778242168,1,C0020621
2778019847,1,C0239161
167431671,1,C3179109
2777764128,1,C1555585
2909484148,1,C0008395
34688535,1,C0072108
2909456546,1,C0192861
97508593,1,C1701901
2779999543,1,C0320070
2779348098,1,C0068765
2776825438,1,C0040186
2778150588,1,C0052802
56995899,1,C0016400
2779870758,1,C0304640
66322754,1,C0005612
2778773085,1,C0020883
2910086692,1,C0022602
2776291583,1,C0021492
2909444396,1,C0021818
2780829489,1,C0042845
2777407945,1,C0020711
2778327988,1,C0329601
2779151384,1,C1512484
519581460,1,C0028128
2780101021,1,C0027145
2777487392,1,C0205344
2910979724,1,C0683459
38652104,1,C0085097
2779158730,1,C0201811
2777643638,1,C3888018
117943116,1,C0597361
2778655850,1,C0044021
2777417762,1,C1442800
2780610420,1,C0326127
2776752467,1,C0026609
2781135107,1,C0009981
48660041,1,C0312562
24590219,1,C0423909
3020028006,1,C0013849
169743794,1,C1708705
186493320,1,C0949645
2779324830,1,C1820119
2781421780,1,C0050451
2777340749,1,C5206818
61271108,1,C3178847
2989236134,1,C0017313
521332185,1,C0679213
2780287645,1,C0162350
2781413975,1,C0324180
151292725,1,C0011518
2780588462,1,C0998628
2909129861,1,C0203082
180504324,1,C4255252
2781272059,1,C0016996
86626682,1,C2936389
2780849966,1,C0024204
