citing_work_id,reference_seq,cited_work_id,pub_year,cit_window,is_self_cit
2792749465,30,2137757771,2000,18,0
2099711558,55,2106836508,2002,11,0
3023885746,11,2029067925,2014,6,0
4389179965,35,4200284058,2021,2,1
4205251113,29,2037244062,2008,14,0
2413204452,61,45877667,1980,36,0
2092813391,58,2037456336,1981,24,0
2019947336,22,2079598756,2009,5,1
2897426862,17,2130420190,2004,14,0
1974842051,26,2073964794,2002,3,0
1969764120,15,2066842001,1997,15,0
4247896888,11,2037529626,2012,3,0
2110257977,13,2007572301,2000,3,0
3205012316,14,2614696572,2017,5,0
2943458561,2,194561203,2009,10,0
4391891805,66,2936849084,2019,5,0
2023882546,4,1566034733,2001,5,0
2078678551,1,1969287161,1982,33,0
985972592,29,2078161487,1995,19,0
2127468374,59,2950000994,1992,22,0
2029977519,31,2128091892,1988,15,0
2887650502,41,2125227143,1998,20,0
4386901814,35,2587923041,2017,6,0
2024044554,14,2030865963,1994,4,1
3091104833,11,46343134,2000,20,0
2804921082,13,1987205432,2011,7,0
2586159641,67,2216675461,2016,1,0
4304822944,9,2317529032,2010,12,0
2538149558,9,2085918711,1968,48,0
2790320745,46,2129216969,2003,14,0
2086099486,107,2163797572,1996,18,0
3210456455,37,2162845717,2011,11,0
2265310612,37,2116617718,2014,2,1
2341070770,93,2129343311,1998,18,0
2164368194,51,2011540954,1993,15,0
2746295937,8,2061270459,2013,4,0
2940413466,63,2064183020,2013,6,0
4293103544,37,3168395834,2021,1,0
3098882496,3,1514707913,2008,9,0
1965024221,6,1983094640,2002,12,0
1995951161,8,2033854594,2007,0,1
1967991151,18,2159905203,2001,4,0
2507917053,6,1873535434,1999,17,0
2619219673,20,2065067355,2001,16,0
207422362,76,2479168150,1993,0,0
3112479282,27,2809695828,2018,2,1
2048807698,1,1490693353,1998,8,0
4385522650,61,4226047490,2021,2,0
1996807797,24,2318653171,1969,36,0
4317390658,10,2047568548,2009,14,0
2161148706,4,1585335425,1996,9,0
3025788176,27,2117287206,2002,18,0
4391809566,17,2570916292,2017,7,1
4200168033,19,2549697535,2016,5,0
4389989955,132,2031308439,1995,28,0
2094220011,10,2040184556,1973,36,0
4294199483,22,2024264719,2009,13,0
2907469577,8,2003846888,1966,52,0
1925875298,20,3102381603,2012,1,0
2034503919,8,2075126946,1997,0,0
2110635177,57,2122229611,1984,29,0
2562671642,4,1608662320,2008,9,0
2053613322,106,2092236026,1984,15,0
1507404475,10,1584900555,1971,12,0
3161365402,4,2015800048,1986,35,0
3094670085,90,3098754610,2017,4,1
2029023661,26,2095001291,2003,2,1
3173004898,22,2256317468,2016,5,0
4391275328,101,3014462878,2020,4,0
1992396491,37,2036794253,1996,14,0
3120196521,154,2234115940,2016,5,0
4392365749,19,2040512625,1995,29,0
3015490983,23,2342894776,2016,4,0
4236284472,44,4233168544,2008,3,0
1196380992,5,1499237453,1984,25,0
4396904092,65,2094937078,2010,14,0
2062528826,1,1555409852,2001,9,0
2138817119,56,2145624529,2005,3,0
4379875774,44,3044828851,2020,3,0
4388902191,59,2982029485,2018,5,0
2283219972,26,2137318649,2001,6,0
2765893878,23,2157251388,2014,3,0
2061983066,186,2495387164,1992,3,0
3195451588,18,2071235764,1983,38,0
2027403999,4,1972163180,2002,8,0
3047710150,10,2002641976,2005,15,0
3110868279,27,2098614082,2007,13,0
2048517456,47,2189032837,2012,1,1
4399462630,44,2895534935,2018,6,1
4389228403,29,4206412842,2022,1,0
3160457605,16,2023481373,2001,20,1
4385335328,6,1991260972,1989,34,0
