author_id,last_known_institution_seq,last_known_institution_id
5007050514,9,4210163890
5098138523,1,4210135740
5004150286,1,16568816
5083950585,1,2250653659
5046124098,3,2800313864
5084959964,4,147482076
5048411896,1,4210086342
5032595393,2,28210344
5051844650,3,10902133
5021481899,1,1343551460
5051323052,2,38538140
5080510251,4,2801882885
5002239691,1,4210109756
5101946783,1,55712492
5086439653,4,277688954
5039369597,3,1294671590
5096363783,1,4210117112
5011672493,2,33213144
5016832109,1,4210138151
5082392128,1,199305430
5095527997,2,2799886051
5065166287,1,63739035
5049588470,9,1298154867
5039815757,1,135310074
5042487685,1,4210104108
5085680302,5,154099455
5062668420,5,1339963072
5030868268,1,86519309
5101501248,6,84218800
5033581802,2,4210153792
5038811002,2,4210127128
5063565035,1,4210135127
5100422002,5,4210165038
5064022467,4,2802619606
5085025876,1,102322142
5035555309,1,91732220
5043888358,2,4210158653
5070926324,2,2801852214
5011434863,1,67328108
5076007118,4,4210094097
5089915291,3,1315085146
5044506248,2,116067653
5005750777,1,92156820
5101957667,5,4210091929
5045218614,4,191208505
5014934088,3,17974374
5061037295,7,142263535
5004054501,2,223822909
5104129147,1,4210090981
5049865577,3,4210134341
5015008724,2,4210108711
5054673275,8,24062138
5007650304,1,4210166603
5064527288,1,150744194
5014905426,5,1289024836
5041368709,2,74319210
5100531700,10,59028903
5022031163,8,184565670
5031805783,2,4210144482
5018025238,1,4210141995
5079398497,5,4210127966
5103944195,5,62916508
5035095422,5,119868032
5061900949,1,203951103
5033403271,4,162827531
5084765048,2,4210117042
5100438308,2,87780372
5087970352,3,865915315
5081745235,1,27837315
5021395661,2,4210095597
5003488193,1,140352217
5057340609,1,91138267
5104534506,5,142263535
5099675521,1,39804081
5072860156,2,4210147954
5031049804,3,4210129763
5085545467,1,192455969
5059467824,3,138006243
5017870348,1,107575416
5087975042,1,4210087915
5027782928,1,119896790
5103226764,5,4210120668
5100639193,5,165507594
5055543895,1,140172145
5035253071,1,79189158
5037539808,1,205274468
5046643331,4,204250578
5102423780,1,122411786
5036488243,3,4210140884
5080790899,1,1317886745
5073583381,2,154526488
5103772912,2,4210151861
5020750524,8,2801318138
5089069331,4,4210116661
5002998830,7,4210147332
5076455574,1,74897591
5055431816,1,2800453128
5061761465,1,4210165845
5052312279,5,1338124936
5079267287,2,4210132637
5054848389,8,1313298211
5098068498,2,2801613365
5059609678,9,2801613365
5094267409,1,63966007
5054698384,1,64952554
5031457782,4,4210110323
5096769004,1,145996665
5052530022,3,129877168
5036543958,4,4210113869
5015168833,1,1289243028
5100563531,1,130238516
5034924180,1,4210099858
5092171168,1,205133468
5070825762,1,27357992
5101924725,3,223893228
5100776195,4,2802603000
5067693242,1,142263535
5103662874,10,4210162181
5068553808,3,174216632
5002514366,5,4210114166
5057751476,1,11892038
5085422836,1,41156924
5065614706,1,4210133077
5102755427,2,3124059619
5092764299,1,121748325
5013011944,1,2801138448
5006219608,7,1299022934
5048176685,4,865915315
5075452481,1,129862065
5046445200,1,130238516
5091679759,1,83737708
5026766708,1,4210139259
5074914978,9,4210159511
5090997071,2,2738703131
5020450164,3,189210763
5009050022,1,145402516
5052712965,2,24354313
5044138343,1,4210094598
5072257711,1,197251160
5048973045,2,74973139
5023737545,1,4210118178
5054317339,6,80043
5065153687,2,4210096636
5085047861,3,4210152146
5047523124,2,17024267
5065304540,3,141945490
5051357485,1,2800926800
5048449464,1,163340411
5016378992,7,137902535
5100857433,2,105296287
5062031813,6,40347166
5019445603,1,4210091464
5100709253,3,101479585
5029331272,2,87208437
5033817648,8,141882310
5090161439,1,2801301638
5081634175,1,2802946424
5022378820,6,183111857
5032657976,2,200763008
5071076618,1,51556381
5000525430,1,1326965316
5018056952,2,4210092922
5028526816,2,2801308011
5103129012,2,4210137306
5088133084,1,4210160141
5059811472,8,3130484545
5015427500,1,4210138941
5034830921,1,1516879
5043457910,1,11855966
5045399791,1,22465464
5011135817,5,4210095510
5017383315,2,4210166920
5002747671,9,4210137904
5088079060,1,3018999404
5009041728,1,98461037
5004108378,1,4210145601
5069610481,2,4210088206
5089669588,1,137975476
5008680878,4,4210112379
5004398398,3,100005738
5041195919,3,197065826
5007925489,5,4210106799
5042841970,3,111088046
5081622206,4,12150220
5056495152,2,168180000
5055892445,10,2800640726
5069006298,7,1338135719
5025004859,4,104946051
5075221782,3,4210138652
5092423440,1,91203450
5006485088,1,4210119042
5059577207,1,2799307867
5062378598,1,200362191
5044393418,3,4210141255
5024720507,2,1307946715
5025195740,5,4210118471
5052212396,1,83019370
5100174683,1,4210155929
5027630297,2,4210118715
5026944546,7,4780363
5029200572,3,4210120314
5103481850,3,158248296
5051048492,1,880747138
5007544338,9,4210128919
5051823684,5,4210134622
5102246987,5,35928602
5030856711,1,4210143260
5044199624,1,4210162909
5091668918,3,21606457
5097471087,1,4210150047
5058705383,3,161103922
5013009635,3,197869895
5006673733,9,4210105156
5059082272,5,57206974
5100675452,7,47720641
5062629693,9,4210137335
5005891508,1,24027795
5041919526,5,3019692003
5082885639,2,2800621266
