concept_id,related_concept_seq,related_concept_id,score
2781362458,35,2778820722,3.461904
48856860,44,32362775,2.834638
125583679,15,99138194,3.0191019
146864707,4,145151356,3.772506
2778270854,6,2775986502,3.030016
2775893721,9,2778506257,1.5410436
88779282,15,60799052,5.366151
154226666,25,526757652,4.2359185
2776553924,2,2778425758,2.7070718
110342517,6,51544822,2.5246487
19736811,2,93246554,3.5885
2777394884,15,529173508,2.9154813
103888896,34,77304879,3.3917434
58202505,11,114350782,1.843835
156785651,5,21607733,3.9947593
2778751314,5,2776914184,6.1381683
173696418,5,108225325,1.106328
2776020440,5,2779518903,3.4263299
91442348,40,149465734,2.6880434
89997419,2,5496284,1.2965055
145633318,14,2776423180,3.211857
2779755913,9,113271649,1.284563
88653102,7,28285623,3.9581394
2776353806,7,2775852224,3.6299644
2780907711,18,2780175798,3.3011415
2777819096,31,2779220451,7.4397955
528890316,55,2780136152,4.2729793
2777289494,8,2777131384,1.6304299
2776250582,4,104397207,2.782975
91810186,1,2779676219,2.617403
2779686138,16,2341566,1.1457402
2777883359,15,160145004,2.9134266
98142538,13,194571574,1.5123718
32049820,27,85307737,4.341136
79841651,65,110829209,2.0927176
2779553184,9,2778748088,1.2132324
154690210,9,100481476,3.7616355
150077022,2,34559072,6.885644
47432576,50,152369539,2.9016075
2777432617,10,2777704003,1.0057509
174957148,3,175025494,1.4643482
2776414723,14,173959671,2.88664
11072593,6,126766683,1.5636286
195889767,2,67805463,13.063805
2778914577,4,2779745306,4.56612
2780458788,2,94671646,1.3184887
103423394,10,61863361,1.0529479
119423318,7,2780439572,1.2559016
2780917750,21,2776914593,1.7829318
58166,9,195975749,6.3103075
83591994,6,2779070456,1.757503
168031717,6,148898269,0.7915106
2778790584,26,184150571,2.0128238
134083981,21,64249296,0.9183961
2779692143,3,2780244103,5.9781294
26140837,2,127094628,3.4298499
130160918,10,41555743,5.8917346
2779699568,21,173811977,0.76803553
78945660,40,148518694,1.2492961
2778236026,2,2779177675,11.122142
207987634,25,149946192,3.1114187
83604417,9,2779715934,2.0107582
2780924976,16,169685871,8.228198
100836998,7,24461792,2.2039547
7608002,45,165435473,3.1114974
188353592,14,158981924,0.7613487
2777122596,6,2777993278,1.1540779
2778617687,40,2778589691,1.7411956
47798520,50,45860500,6.436842
158129432,18,2781238917,1.2887545
137022216,1,2778183165,9.217129
5166401,27,198340109,1.8708514
47096860,3,186027771,1.7804354
2778537129,4,2778660310,3.5221708
85255121,9,136676167,1.4456005
142475440,20,35304006,1.4640646
2780299701,63,56292299,1.7518262
138081561,9,197617374,2.0602438
3255780,15,2777455480,1.2385219
2781465898,18,161153951,13.985526
82484044,9,544833334,3.79494
169437150,52,2777464741,10.876733
42084846,6,128319531,1.9799031
107706546,7,4311470,10.82801
162475051,1,63036615,16.957836
203496682,7,571446,2.3570802
2780679668,3,2775854548,5.0052795
96835668,15,54131670,2.463499
26987225,7,2778794669,2.2462285
2776873419,15,2778903686,1.3679057
40696583,11,169857963,7.2909017
189714311,11,33441834,1.0319628
2778006474,17,196348190,2.0660372
2779652256,84,83974742,3.4645233
25185021,23,153180980,0.93489695
2777911890,33,63405245,7.8616714
511782119,11,156576523,2.723805
522602180,2,547737533,31.158373
2776557347,33,2778986270,7.742516
2780464338,16,51470902,5.4261403
2780775167,42,2780596555,9.607074
2776040555,8,2779489039,1.0827003
2781310163,15,7979169,1.1195385
2776934708,6,2776024998,8.422402
2778623024,9,56956389,8.51559
9996572,17,161926555,1.6073662
138405894,32,186515451,1.4616315
2775932338,11,2780297055,4.7623134
193343404,9,88196245,3.4330256
102519508,44,98306654,8.612951
33026886,15,37482258,1.9938691
137984847,16,552990157,1.4908805
191154138,10,169573571,1.4218107
179799912,43,141796577,5.2767324
190104652,3,557119937,1.4327636
2780601773,12,2777575454,2.3703816
119883117,19,200323278,0.9220581
2779662492,16,2779409168,3.5866575
10064560,4,2780832504,1.3746958
2779554281,1,2778240251,6.7236643
51399673,38,199194280,1.0908822
56498450,7,124017977,2.1392255
2780613262,39,126042315,1.4370477
108713360,11,2777960535,5.187928
204030448,26,2776870568,6.7229705
2776259327,4,512968161,1.4711627
67283384,18,2775891814,5.1992173
2777553839,5,157333092,3.0222585
147947694,11,500300565,6.6348352
41008148,53,54750564,13.512761
43144210,59,2778172128,1.4037845
111814575,8,20636137,2.8422618
181341577,11,106978608,5.573924
2778969670,7,204217086,1.078251
62520636,8,159317903,77.5731
188095982,1,2779300254,1.9290135
179717631,3,38365724,8.850491
2780404050,1,2778500429,2.5534759
528581852,21,135674925,2.6187208
2779832703,18,188382862,4.142548
148901597,74,2781088195,2.1146657
180903884,45,110732118,2.116772
129554576,50,131503682,4.8487873
104060986,29,2777723930,1.4563655
88478588,62,47289529,5.150896
200870193,15,5600068,7.889839
8597494,4,181588539,1.3206158
90048612,14,70036468,1.7396935
8466233,24,28903235,13.917519
2775988993,21,33318195,1.77896
2780427559,16,2776560457,3.0426676
198352243,21,28719098,5.00423
121327165,74,125907379,1.6121355
84687054,6,151286553,1.00526
178489894,99,2776831232,2.771563
2775954498,14,2776705134,1.7631785
2780074459,80,2776525901,2.5158937
35391346,3,82844589,6.248629
2779620486,10,157369684,8.850698
131872663,17,16568411,13.601093
2777153885,9,2779117258,2.5793521
119770614,6,71017364,2.252042
2778355321,2,2780595030,1.3325431
20198109,6,2778315978,3.291036
2780114586,36,2777896290,18.26638
18552078,15,2779901982,3.4708066
2779148216,16,17165728,2.6140833
134112204,20,200369452,3.5972717
2778524494,13,71315377,3.355016
2778181364,8,2778804639,1.1457353
79186407,10,59085676,4.080233
158617107,32,2776050358,9.524955
153471976,27,76725341,1.1433092
2776804153,41,2778842783,4.562916
2778042862,4,2780661987,2.3939958
2781307008,11,27206212,4.737227
121040770,4,203087015,20.878311
124657808,69,66344492,0.75037116
57149124,1,119865680,8.637142
2779896714,35,2778874371,1.6110967
2781305714,19,518851703,2.087621
556429856,5,162392398,4.118263
557471498,4,73555534,3.281736
2777495988,31,2777632338,2.735216
144218379,56,2779577034,0.8894095
47085818,8,201941533,8.095559
69527307,9,169485995,5.328667
67051015,5,51485801,1.4071623
123202247,2,11171543,4.141831
512735826,75,2776165558,3.2281134
174475383,34,166608930,1.5559146
19150895,4,72648740,2.1161022
2776849261,4,100335711,5.1522865
5858377,1,17502307,7.0156474
2779661893,16,2778562233,1.08848
2775887326,15,2777965401,1.5700576
2778022349,3,134132462,2.4437978
105795698,54,10138342,16.463284
99862985,18,2776043813,0.7991339
77021192,22,70120467,2.232654
2777080012,65,33362165,1.1475093
2776024655,12,2776077682,5.684624
2777495146,28,2781107390,1.26804
2776575663,11,41690226,1.800238
20254490,28,174268685,2.1485684
57795399,3,119133118,4.455555
142885752,4,155868670,1.8107312
24561367,2,10899652,2.4290173
43953973,6,159047783,3.9895954
202411454,11,115071613,1.2625695
182335926,16,181367576,1.4518046
2777872592,5,500499127,1.1875479
129848803,12,44036329,4.50988
2776985958,6,159654299,3.645804
2779230927,4,2781270789,1.8023977
88991977,28,5788528,1.1673416
2777390839,1,2780406733,3.0163236
2780188279,2,33807043,2.213733
3031470,18,22629506,1.4594866
2778849806,13,164705383,4.8552237
2778257484,9,2780916184,9.525551
95691615,5,126806153,4.581922
2781237140,10,2780299902,2.5745246
154526789,2,169590947,9.832824
2778305236,8,177681979,20.090504
178790620,99,187738980,3.5274038
47487560,8,2777206034,1.5738487
534529494,9,2776780178,8.69151
2777991116,6,2781051154,4.0522995
196985124,2,14396502,10.02725
109883240,7,2779197387,2.049196
2777212017,21,190831278,1.1487062
8840205,15,114684123,0.94937134
41132520,20,169105985,14.041946
111963520,10,195081551,2.3809075
2779768347,14,2780533449,2.0556488
148047603,3,146710177,4.120777
2777644567,16,542102704,1.9944901
2781003276,12,2780920261,1.1351432
2776955867,17,126292034,1.2501997
2778160301,3,2776911630,2.7769966
2778248742,1,77411442,2.200415
59883199,8,135622632,2.1395733
2780822299,26,2780446828,6.063971
80984254,10,17744445,1.4568585
142930883,19,109260823,1.1897645
2779126056,39,2779431647,1.010745
98648569,5,2778903051,0.92491174
13474197,11,185644265,1.644537
2777436746,7,55904794,23.324116
2777410846,2,2778902285,1.1340358
2777210460,11,2781432083,3.1367106
32270936,30,20256973,6.451692
