institution_id,repository_seq,repository_source_id
185071736,1,4377196324
185439253,1,4377196717
185443292,1,4306401753
185523456,2,4306400696
185852735,1,4306402361
186335123,2,4306401576
186803428,2,4377196574
187494767,3,4377196378
187531555,2,4306402420
188538660,2,4306402320
188884621,2,4306400659
189158943,1,4306401627
189196454,1,4306400392
189238007,3,4306400396
189268942,1,4306401705
189590672,2,4377196407
190082696,1,4377196258
191240316,1,4306400827
191420491,2,4306401039
192257213,1,4306401878
192455969,2,4306400473
192513696,1,4306402165
193054373,1,4306401995
193223587,3,4377196320
193620225,1,4306402049
194028371,1,4306402576
194163208,1,4377196818
194839184,1,4306400185
195460627,1,4306400966
195893171,1,4306402087
195939026,1,4306402566
196272386,1,4377196881
196677622,1,4377196728
198243066,2,4306401109
199417121,2,4306400700
199440890,1,4306400028
200183955,1,4306401918
200183955,5,4377196563
200332995,1,4377196631
200362191,1,4306400062
200719446,1,4306401794
200763008,2,4306401439
201025148,2,4377196553
201389808,1,4306401034
201787326,2,4377196441
203303854,1,4377196509
203899302,1,4306401854
204136569,3,4377196284
204291657,1,4306401260
204465549,3,4377196288
204743663,1,4306400737
204824540,1,4306400510
205133468,1,4306400777
205158640,1,4306401028
205274468,1,4306400387
205783295,3,4306400787
205783295,7,4306402381
206945453,2,4306400179
216071944,2,4377196540
221716585,1,4377196686
221899656,1,4306401519
223822909,4,4306402124
224954996,1,4306402629
227486990,1,4306401984
230495080,2,4306401529
232005693,1,4306401997
233745408,3,4306401317
240025564,1,4306401990
255234318,1,4306401812
271457894,2,4306400821
283262890,1,4306402230
291386647,2,4377196361
337778094,2,4306401516
859038795,1,4306400248
864159182,1,4377196725
864159182,5,4377196807
864159182,9,4306401818
864159182,13,4306400767
864159182,16,4377196752
865915315,1,4306401107
867280407,1,4306401994
868834043,1,4306402572
870124129,2,4306400323
874386039,2,4306400803
882953328,1,4377196512
883679329,2,4306402597
884043246,1,4306402269
887064364,1,4306400088
887968799,2,4306401033
901148624,1,4377196894
904495901,1,4306400167
909854389,3,4306400050
913958620,1,4306400997
926574661,1,4377196964
1282462722,1,4306400525
1286583668,1,4306402476
1288237921,2,4377196815
1291425158,3,4306400783
1293303778,2,4306401706
1293303778,6,4306402152
1295562517,1,4306401890
1299303238,1,4306525036
1299303238,5,4306401960
1311157440,4,4306400390
1313323035,2,4306400242
1316920787,1,4306400644
1318003438,1,4210172589
1326965316,1,4377196551
1331168281,1,4306400632
1335518801,1,4306402490
2608206482,2,4306401955
2750212522,1,4306400573
2799443121,1,4306400222
2799747612,1,4377196945
2799848540,1,4306401712
2799848540,5,4306402352
2799848540,9,4306401491
2799848540,13,4306400047
2799848540,16,4306402530
2799848540,20,4306402488
2799848540,24,4306401186
2799848540,28,4306402219
2799853480,2,4306402524
2800024560,1,4306402552
2800262456,1,4306401379
2800616092,2,4306401585
2801242002,1,4306401891
2801244131,2,4306402394
