work_id,concept_seq,concept_id,score
3169087911,7,2985973956,0.45618904
1622877879,1,2778145024,0.8612267
2952775435,15,136229726,0.1085833
1042582392,15,161153951,0.0
2412581808,6,183873130,0.58451533
2147735986,17,199360897,0.0
2899493961,13,50522688,0.33910722
2102568716,11,127413603,0.3624699
3110824500,2,164953862,0.67265326
2362468171,10,2776920199,0.43437156
3014756422,8,151730666,0.0
1943759401,7,41008148,0.4532191
3047375064,3,31903555,0.6633532
1960858081,2,2778767146,0.6953014
2884765810,8,141071460,0.54037774
2075996130,13,133386390,0.41330233
2198579875,12,34447519,0.18293828
4388096344,14,2524010,0.07176545
3160472617,3,120804375,0.66661376
2084184905,17,555944384,0.0
1997497175,24,127413603,0.0
1965093845,1,2780827179,0.61370057
2617207812,12,11171543,0.28877807
2187168613,6,18762648,0.4866758
2594934766,5,126322002,0.41382158
2222757016,4,105782903,0.7719488
2576379608,4,144133560,0.050184935
2795326059,7,2781249084,0.46846053
4311031001,1,15708023,0.5427393
2006518198,1,89560881,0.82690215
2003053827,21,121332964,0.0
3094149675,1,71924100,0.9746727
806480040,2,41008148,0.47222853
2080097738,6,118552586,0.10404363
3124246358,9,138885662,0.0
4239989217,1,177291462,0.8063385
4394362429,2,2776174256,0.5467753
4294242953,12,144024400,0.24767315
2217802417,4,206588197,0.53105426
4239181294,4,97355855,0.115163356
4212861615,7,502942594,0.3227901
2282904730,16,187320778,0.0
4283733595,7,10349863,0.49063316
1621038485,6,192562407,0.56060904
3134601399,4,141071460,0.52635133
2792655670,3,138885662,0.34060985
160674586,5,2777315864,0.53337896
2793777147,4,3020166492,0.6276546
343371747,9,41008148,0.2936448
2171980020,2,44870925,0.58617795
2066224244,8,2994367422,0.45380005
3051071370,4,86803240,0.35473865
4361282813,12,89423630,0.32904088
2353635122,5,149635348,0.4537516
2223868069,3,15744967,0.33392012
2797136974,8,178802073,0.34878182
2317852596,3,161191863,0.47914404
652496585,5,58640448,0.33457547
4298317024,1,41008148,0.27922523
4296398477,2,17744445,0.39945722
4239416371,9,2777546739,0.41525728
4246579593,3,111472728,0.16197947
1851040891,17,162324750,0.17786103
2165418827,8,188027245,0.3662457
3111607150,12,199360897,0.0
2598788408,5,144553756,0.45447147
4392444328,4,41008148,0.37188727
253883890,2,111472728,0.3805121
3030005527,3,113807197,0.61323607
2376230409,9,74363100,0.32457006
1201217540,9,182310444,0.4297374
2349763004,7,518851703,0.49659115
4220977278,2,103697762,0.7901294
