work_id,affiliation_seq,institution_seq,institution_id
3108257992,1,1,4210127133
2619326718,1,1,206895457
4285744828,2,1,21370196
2808456039,1,1,4210136509
2886228932,3,1,4210125099
2688439781,1,4,4210156273
2587563541,1,1,14746517
2037601658,3,1,4210131988
3006388594,14,1,34809795
4384501760,3,1,127317711
2065262215,2,1,16566446
243447719,1,1,1302404375
1886523633,1,1,2799610660
1950933622,1,2,4210136554
4206945871,4,1,102322142
2922575705,3,1,154099455
4220917524,1,2,1288882113
4200068303,2,1,4210127118
4390692650,8,1,1283280774
2011541139,2,1,16733864
2410107393,5,1,23946033
2005655926,1,1,926574661
2791809185,1,1,134635517
2604380539,3,1,130238516
2150713722,1,1,74973139
3112203205,1,1,162361429
2059404348,2,1,167420956
2775166449,1,2,2799442855
2155024903,1,1,194019607
2908173178,1,1,196699116
2039212281,1,1,148314036
4213101679,1,3,19894307
4229366248,2,1,138689650
2979483230,2,2,4210138594
2057059202,3,1,1312222531
2155351964,6,1,197809005
2792544477,1,1,205274468
3127191589,6,1,4210162262
2003754305,1,1,1341412227
2154303406,2,1,4210153531
2172144530,23,1,40034438
1974339091,2,1,95457486
2064985110,3,1,111979921
1575461485,1,1,52357470
1482116708,1,1,177064439
4396743456,11,1,9360294
2127736543,1,1,4210112220
2494930581,11,1,4210086407
2968184616,1,1,75420490
3081640450,1,1,57206974
3209194801,2,1,19820366
3038440653,3,2,47720641
2144947823,1,2,39422238
2087093523,1,1,98358874
3028224839,6,1,44202434
4394388997,6,1,4210121586
1975001213,1,1,108714496
2141926827,1,1,171892758
1505481581,1,1,4210152897
4229035952,4,1,19820366
2052148474,1,1,4210143345
4309261692,1,1,4210165272
2039904080,1,1,859038795
4289779788,2,1,4210134800
4205467045,2,1,135310074
2007828274,1,1,55454047
2955320185,2,1,4210143330
2375527702,1,1,40963666
2409503098,1,1,4210111187
3021158265,2,1,170201317
1973969539,2,1,200296433
2008634509,1,1,73616290
4385364637,9,1,4210124661
2103297792,1,1,1326498283
3143679364,1,1,52158045
3112463006,3,1,101479585
4395662210,1,1,112536369
3169899999,3,1,124601658
2006792806,3,1,204730241
1965890451,2,1,1343551460
1993639138,1,1,4210091773
4220910785,3,1,179331831
2372992708,1,1,116265982
4362576376,16,1,70931966
2052426165,2,1,14243506
4322505814,2,1,2803066834
2746733395,5,1,192398990
4399984005,1,1,11855966
2915081451,1,2,4210133436
2884898685,2,1,4210137767
1986181222,2,1,2801036362
3037209052,1,1,66514158
1995474687,37,1,52357470
2061604483,5,1,2800849109
4246223951,1,1,79889768
2086769514,5,1,4210159094
2889064274,7,1,4210151887
1996781968,1,1,55240360
2907426308,2,1,4210138941
2554185836,1,1,4210110782
2889885995,1,1,189590672
3030068055,1,2,184813773
4317541510,1,1,2800387288
2154556798,2,2,1294671590
2066976746,1,1,1330342723
4386545798,1,1,154851008
3032149392,4,1,4210114532
2060516701,1,1,2800667924
4389056338,4,1,125839683
2028211742,2,1,146416000
2160498162,2,1,173212132
4223621638,8,1,2802789809
4392455708,2,1,165932596
2093757988,3,1,97009856
2064028128,1,3,90183372
2029202111,1,1,165560825
3134076364,4,1,4210116806
187165136,1,1,212119943
3134635883,1,1,21449664
4254542074,1,1,32971472
2146467108,1,1,2801261045
2918954610,1,1,165779595
3208141552,1,1,4210090867
4385900221,4,1,171210897
1990787539,3,1,148366613
2097198366,1,1,24676775
3162020481,7,1,188538660
4397023834,6,1,4210088652
2020852366,3,1,4210157091
