concept_id,umls_aui_seq,umls_aui
2909003041,1,A27778637
2908623805,6,A28306409
2910710179,4,A23521812
2908525259,2,A18576772
2909761261,15,A24610997
2911175447,1,A11992704
2909780792,3,A20063107
2909668393,1,A0095125
2911182112,4,A3614567
2910647763,1,A0248122
2909133680,2,A0451180
2909060799,5,A0395901
2909548125,4,A23023383
2909217659,5,A0130454
2909221823,6,A1304574
2910098536,11,A18682449
2909411463,5,A3056866
2910249166,13,A6838845
2909569812,5,A4835687
2909048046,7,A10336503
2910036143,1,A0040510
2909575627,1,A0037034
2910439992,3,A18445123
2909139353,19,A2938684
2909011054,3,A15086892
2909688399,2,A18563779
2909111249,1,A1256097
2910059622,3,A27133816
2910949778,4,A0429757
2911218072,6,A7570410
2908999040,21,A8481969
2909365576,3,A3038001
2910108565,6,A4776670
2909466429,3,A27808384
2909972456,3,A24379738
2909445476,10,A16764283
2909675724,10,A17905982
2910477827,2,A18557638
2908607204,17,A4740818
2910508087,1,A1188613
2910198813,15,A26455893
2908551600,6,A16757581
2910060629,4,A27155432
2910152587,1,A18664323
2909086917,10,A17112099
2909649922,2,A17881658
2909133680,3,A0451181
2909592510,1,A0397780
2911120302,5,A0604053
2910222780,4,A18552320
2910992960,1,A11612660
2911090098,18,A8437160
2908958330,3,A18609356
2909988403,3,A0044810
2909408332,22,A2884598
2910399511,1,A0055332
2908524427,2,A0465639
2909225500,15,A9334032
2909863526,1,A14242020
2908728990,3,A3046831
2908554969,7,A0446111
2910390209,6,A18575243
2908910614,1,A0085114
2910822663,9,A26598633
2908883878,5,A0447411
2910701733,5,A0467274
2909999518,2,A0416192
2911179620,1,A0598761
2909091063,1,A18206489
2911197707,1,A0719891
2909493559,2,A18633912
2909274023,16,A3528577
2911079008,17,A8483441
2909747305,4,A18566373
2909196033,2,A0436033
2910652704,2,A15660102
2910863469,2,A0400016
2910234982,3,A17968522
2911196830,10,A22862998
2910003425,1,A0408669
2909698591,10,A25748021
2910722728,2,A18061075
2911002200,9,A0476137
2910384157,12,A18731930
2911090574,7,A9334004
2909011893,2,A0590932
2911164177,2,A0113711
2910783051,1,A0090204
2911076395,4,A7649882
2908806481,12,A17908492
2909842389,1,A0133879
2908657509,8,A23912154
2910574371,22,A25727028
2910443878,2,A0046998
2911041269,11,A24679710
2910015228,2,A24081690
2909376813,5,A23867664
2910034267,1,A0066385
2909339193,2,A20678423
2909281104,7,A18560370
2910574371,9,A0419206
2911055534,8,A23046364
2910624479,2,A17928851
2910701733,11,A22861702
2910198813,21,A8483096
2910135376,4,A21142646
2911092318,2,A16767364
2909322605,8,A25693167
2910891466,6,A26710357
2909412390,5,A18648611
2909849945,1,A1184173
2909059896,7,A24666773
2909794270,5,A8483540
2910289471,3,A0542215
2909813250,9,A21142649
2909919940,4,A27942903
2908950501,3,A28254983
2910500402,5,A15401622
2909070644,1,A18631400
2910601527,1,A15348995
2908799130,2,A25760140
2911146268,1,A22722660
2911202535,2,A0450118
2909516574,3,A24589303
2909403385,2,A0405629
2910026153,3,A2989736
2911194787,1,A27372951
2908733394,10,A18629488
2909878339,1,A23904299
2909736353,3,A10809353
2909339193,1,A20088908
2908837262,1,A18554611
2909178817,16,A8355517
2909524538,18,A26610308
2909510684,4,A23098309
2909472194,2,A18050306
2908554999,2,A8411317
2908607204,1,A0055153
2908767545,9,A21235386
2908810637,2,A26611632
2910605048,3,A17774110
2909582096,12,A17931286
2909270721,8,A22812282
2908884792,14,A18683703
2909916482,7,A26512931
2910262544,8,A20125700
2909908917,4,A24679792
2910241647,2,A18583639
2909815200,2,A20070500
2910064783,3,A0771065
2909665077,3,A22905812
2909698591,2,A0419245
2910035481,3,A18629377
2910230336,3,A26503777
2908546038,3,A23087938
2908541216,5,A17921929
2908599710,5,A3293640
2909217500,16,A7591653
2909830472,2,A1254735
2909726219,8,A13818297
2911041269,12,A25731257
2909606595,9,A6916804
2908754555,1,A1103931
2911216061,1,A0795464
2908696374,4,A26483738
2908826020,1,A24388740
2910649274,1,A0460002
2910765934,11,A26611592
2910802627,1,A16992988
2909241321,7,A22916062
2909926780,1,A18329286
2910581834,1,A26678303
2909274023,8,A15596917
2908834131,2,A0398216
2909684724,1,A0083185
2910574371,12,A13659732
2909711095,1,A0589999
2909718394,4,A23894888
2909768578,13,A25745762
2908861226,5,A12108830
2909915070,17,A26660814
2909587778,3,A23871808
2908747478,2,A15557289
2909731388,6,A8374876
2909479827,15,A24674273
2910401862,4,A22948725
2909481879,2,A18678413
2909711095,2,A0590000
2909349919,2,A24669256
2910889195,4,A3131028
2909146933,15,A4387675
2910291275,13,A23012296
2908970061,5,A25734261
2908933131,15,A22976909
2908926015,3,A0400292
2910798071,2,A0110200
2911124769,4,A22728229
2909298252,2,A17922251
2909762588,1,A0093874
2909309622,12,A18556646
2909086633,1,A0707606
2910043486,6,A18590888
2911155155,4,A18561754
2909063110,3,A0409894
2910668632,6,A6921182
