work_id,sustainable_development_goal_seq,sustainable_development_goal_id,score
4399950376,1,8,0.58
3029731934,1,3,0.52
314373183,1,10,0.44
2962621356,1,7,0.65
2048012970,1,6,0.74
3080472399,1,16,0.75
3010227306,1,17,0.45
2042248976,1,7,0.88
1715304901,1,4,0.84
4301198224,1,3,0.56
4394558953,1,4,0.46
352022411,1,10,0.49
2062471519,1,15,0.75
4384447828,1,13,0.68
2008403390,1,7,0.77
4256315597,1,10,0.46
2800702598,1,11,0.45
2919880289,1,7,0.79
2633607137,1,7,0.76
2052398390,1,13,0.61
3186804928,1,9,0.59
2943377665,1,14,0.69
1547769842,1,2,0.46
3015602301,1,5,0.72
3105570830,1,16,0.55
1783880281,1,6,0.56
2115833419,1,7,0.86
4206561912,1,17,0.46
1868619165,1,3,0.86
2005974160,1,15,0.62
2897362713,1,3,0.84
3184333530,1,4,0.45
888218605,1,16,0.61
2370148320,1,4,0.84
4367159749,1,10,0.72
2367799486,1,11,0.82
2885223064,1,3,0.81
1970960299,1,6,0.69
1963983183,1,8,0.57
4240599147,1,8,0.67
2598764176,1,7,0.62
2338261948,1,5,0.42
4210499778,1,3,0.56
4248840416,1,11,0.49
2188606950,1,11,0.47
3180926632,1,5,0.45
2124796800,1,15,0.43
2380974629,1,4,0.79
94784918,1,4,0.41
2138696295,1,15,0.43
2044464426,1,2,0.62
2095363594,1,4,0.91
2052542332,1,3,0.79
2473888713,1,8,0.46
2793495898,1,3,0.81
4247705103,1,15,0.56
2112525379,1,14,0.59
3208917499,1,4,0.82
81877269,1,7,0.46
2004508823,1,6,0.69
2883518411,1,13,0.77
2604764442,1,16,0.52
3013445004,1,15,0.45
2587315939,1,10,0.57
2179108537,1,7,0.4
3169323730,1,10,0.55
2078536945,1,8,0.63
2319330885,1,3,0.84
4256127027,1,17,0.44
2280023805,1,14,0.77
244710577,1,11,0.61
3027071615,1,7,0.46
2350392091,1,3,0.6
2027583074,1,4,0.83
2991831725,1,3,0.55
2604933500,1,10,0.7
2075941438,1,5,0.49
2971716010,1,2,0.59
3036760353,1,10,0.43
3158861741,1,4,0.9
4400388989,1,11,0.66
1513067074,1,2,0.62
4229566955,1,12,0.42
4375838977,1,8,0.57
3130864254,1,4,0.61
4400100473,1,3,0.82
4310215458,1,4,0.41
2914141801,1,12,0.5
4287980042,1,10,0.59
2914792104,1,3,0.87
2937874628,1,11,0.66
3199027860,1,7,0.59
149307100,1,16,0.45
4391221239,1,2,0.5
2011693163,1,3,0.44
2912949939,1,8,0.45
1977515802,1,14,0.57
2914713015,1,13,0.45
3209286204,1,16,0.69
3192922738,1,8,0.51
2237690705,1,16,0.47
2037516577,1,15,0.42
3012685667,1,13,0.71
2358183649,1,15,0.57
2398981108,1,6,0.74
4381954434,1,8,0.74
2900564062,1,6,0.57
2084781373,1,6,0.85
2243638507,1,7,0.91
4393282078,1,10,0.6
2012651137,1,16,0.78
2951630594,1,8,0.63
3114879671,1,10,0.69
589198250,1,6,0.48
4321483282,1,14,0.45
3025209300,1,5,0.48
4304688739,1,3,0.76
1966572860,1,11,0.63
2911554758,1,13,0.44
1773752396,1,11,0.55
4241257760,1,10,0.57
2000844919,1,4,0.57
570261104,1,16,0.45
2411399047,1,3,0.72
4224108051,1,10,0.83
850251273,1,15,0.78
3034105535,1,5,0.5
1969132806,1,4,0.42
2587136367,1,11,0.79
2351327224,1,3,0.84
2074930856,1,3,0.86
3088722696,1,3,0.79
2798729614,1,10,0.79
3097948459,1,5,0.41
2559850680,1,4,0.53
2337385087,1,10,0.43
1998859297,1,2,0.4
2068761793,1,16,0.77
3202521768,1,14,0.89
4313391616,1,4,0.56
2734434059,1,16,0.62
4367175788,1,4,0.64
2763246778,1,3,0.72
2491127738,1,9,0.48
1957816734,1,16,0.5
2525624833,1,4,0.65
2624967238,1,13,0.63
3184791326,1,3,0.76
1968842953,1,8,0.51
2615625304,1,4,0.78
3151901666,1,3,0.6
1820857455,1,4,0.75
3217191500,1,2,0.59
2011132037,1,3,0.68
4323838043,1,10,0.54
1977098033,1,7,0.56
2369563936,1,7,0.43
3110506180,1,16,0.67
2163618130,1,14,0.58
251224586,1,7,0.56
2153243829,1,3,0.87
3159779202,1,8,0.71
1971847326,1,8,0.58
2884383739,1,9,0.57
2313933908,1,10,0.57
2787390344,1,13,0.77
2055496259,1,11,0.42
2418318071,1,3,0.63
4376478131,1,17,0.52
4240833779,1,2,0.54
1548505679,1,11,0.52
3150019017,1,5,0.59
4392061967,1,16,0.52
2068248848,1,5,0.74
2063996284,1,13,0.41
2886745336,1,16,0.74
