work_id,affiliation_seq,raw_affiliation_string_id
4399102855,4,76825729
1997922341,1,107425688
2179327490,2,30835899
2604085891,2,11273228
2618622985,1,77898347
3028238352,18,70631318
1973453440,1,120683096
4400381158,5,111511036
2991711962,1,75271650
1966951252,4,117539798
2037758512,1,128304847
2068216193,2,7374250
2051488475,1,58112878
2982061441,2,24293383
4320924386,2,20109997
2021824981,3,4876094
3167327508,2,60393319
2087524781,3,28054091
1992479586,1,66007204
2087097066,5,101024370
2011366433,1,46138254
2906575199,1,78604423
2147232303,3,43511443
2888247547,2,25464623
4281661915,3,114267436
4256369075,2,117333094
3178687704,5,118573452
2373912449,1,65451629
4200359441,2,12315980
4398302610,1,90338477
3196313877,2,50574105
4211209923,3,29818496
3091819055,1,64638972
2404332817,3,32624549
2806969764,5,81548153
2887772322,1,31478912
1970025844,4,75885482
3135779870,3,37312304
1987129762,2,42170616
2124224456,1,1372677
2070258766,1,32627623
252228473,1,18636583
2795567729,1,67173896
2122739717,1,75974242
2030104880,2,69423506
2065982766,2,115042539
2116619719,1,87156220
2888693593,10,69129042
2263030472,1,29330205
1971496223,2,4450198
2887727124,3,41621345
789393927,1,5167275
4386156053,1,90185685
3014907857,5,53801280
4385317398,4,63338143
2008733268,1,127822694
4240528638,1,109230687
1983568884,1,107384083
2964824459,2,82552454
3048273802,1,18649572
1889722103,2,23103269
2887706741,1,41494593
3098152576,1,17139023
4214763142,3,17827024
2394272023,1,65622369
2800205753,3,42090876
2128098893,7,34347110
2553165925,5,99468486
2166601323,1,8559726
3100788144,1,73349420
1965436073,1,74934599
2604415598,3,110044221
2477541282,1,56277639
4234441607,2,69269943
4384284191,3,79102837
1977655426,2,86014104
1968263525,5,56835378
2000379625,2,57088745
1592523755,1,40456074
958385972,1,73315737
2357082226,1,7256884
2361033693,1,42456452
3029598420,1,65921498
1527618424,4,125695649
2166793721,1,20051511
3171626776,12,24964089
2371812817,1,22833498
4225258285,2,41135068
4399755893,1,96768330
2054582562,1,57138521
4389319363,3,59237502
4290759740,1,38044057
2749785411,1,77747574
4391822269,1,6546645
3169593680,2,65924351
2061930434,1,40551104
4206302868,2,75341718
1968969399,1,37993759
2144049010,5,25186389
1556489834,4,120305459
4392059307,3,55867384
1967878346,1,6442469
4392900813,1,106173215
4200281689,2,39735327
4292040757,1,74909501
2917452044,5,30893184
1995024006,1,105430539
4200174622,1,54383358
4389275114,4,111631349
4360745730,4,73714247
4398503757,2,90273872
190987925,1,68407877
2158175689,153,71485840
1997272817,3,74378983
1607805565,2,13059492
2557852470,9,69620368
4379196989,4,46547358
1533748491,1,36581727
2204478299,1,89547242
2110178337,2,16886562
2739817841,2,91705538
1993419106,2,35189382
4394772201,3,125033966
4292042527,1,74909501
1857039452,1,122743731
3031711836,24,109410334
2053105309,1,77089938
3203128182,2,49843282
3087351338,2,110583767
4400250507,2,19266078
1976896984,1,77168755
2965135450,1,96855816
1973282886,1,75804888
4399512325,4,74947926
4321507311,1,59414902
3186957076,1,24275015
4293918925,9,50821324
1993448846,1,109317815
2052249127,1,34844648
4387011049,4,117553113
4250608327,1,75380617
2035102995,8,126015205
3006292903,5,99021261
2166555594,1,121782277
1497533980,1,49192046
2296450563,1,18395822
2124553732,2,74768153
2497845670,1,50260896
3137984381,1,583802
4223575456,6,120323844
4399467277,1,116546688
4386453585,4,106126095
4361299669,1,38897567
4230359967,1,41355185
2045751629,2,74624360
3097340307,3,62532442
2598213816,1,73167624
4396519842,1,123452903
3033123967,6,104418359
2970079661,3,67875988
2283760338,1,53995177
2560683830,1,67003450
2965100422,2,67624116
2327013008,1,18551863
2353790952,1,13507699
2780698068,1,31435300
4302944580,1,45627188
2242735551,2,32019510
1605870370,1,33784630
3113148085,1,112960922
2909085508,2,58528124
4311200023,1,68988595
2393270793,1,41364682
2741197526,1,38915859
4312225979,1,38640230
1514733735,1,92079361
4291003213,1,57188044
4401206535,1,9043784
1971178477,1,52542726
4295277377,1,111915892
2071462700,3,29955440
3205364097,4,54096742
4310639023,5,18106434
4390516056,1,127573406
2146057852,3,76983893
2569862964,1,64334583
4310143446,5,101443856
2085984435,1,71643780
1567712511,1,75225343
4255326339,2,40420013
2100313144,4,76114950
4388599099,2,104651811
2080024728,1,79525428
646892914,10,96484908
4366236976,10,33177974
4309279663,1,126274473
2316565836,1,112597716
4399019787,1,127326105
4225737980,8,121554918
4388094592,17,108777465
2026607811,4,88142997
4385634899,10,87395935
3174740935,3,9530293
779134339,1,56703553
2050498395,2,1548116
4281695454,9,7151147
4399177590,1,80054354
2128726011,1,14943829
2031635696,1,115026394
4293660449,3,29195685
2041455346,1,103582389
4401088870,1,12862341
4231143772,3,58213209
3095231761,2,93112677
2270030389,2,54693546
2587955752,1,85790483
2093360355,1,84181761
2515555267,2,16759958
4377234074,4,67860698
1985401271,2,73662410
182993354,2,54322424
1948604284,2,52366050
2347912525,1,76979384
4386836974,4,75411656
2291796933,2,29957616
1968382972,3,85063711
4285326834,3,89783706
2380956417,1,31659272
2803195219,2,94543233
2363060701,1,42751994
2940631301,1,84518452
3166307827,1,11586008
2023186696,1,26552312
2923230101,13,22262067
2977540718,1,6664191
2329670127,2,112864789
4313041024,5,50358606
4394391229,2,77057747
2018963422,1,68566954
1554139819,1,109514820
4200071398,1,73709277
1481525257,2,94349265
2592657564,2,46959241
2219398214,2,13415558
2485275512,3,73367278
1658040123,1,91186795
1896395736,1,38205991
2110002946,6,51436183
2038239781,2,70906376
2019891289,2,15917097
1993616932,2,74958277
2771710950,1,60133167
1967858954,1,57954782
2046770004,1,29603726
2122935690,1,91174628
4241848117,1,86971234
2000297543,2,27962533
1528042054,1,74317242
4361009109,5,129451420
4304092130,1,7337506
3187133229,2,42857404
2374188558,1,63384628
2156845127,3,55708743
4400308587,3,23691052
1500779751,1,23131391
1996926758,3,85873203
3012365395,2,20118042
4226289271,2,124835816
2138881996,2,95921908
2067358794,1,117467294
4394243600,10,67721533
4321505618,1,59414902
2804738982,1,110259080
2107994994,7,48814577
2087632553,1,52722611
2120057269,3,114173644
3095888478,2,54450751
2399942042,1,109415502
2070268570,1,32938546
2042792072,1,64244091
3122241689,1,77796173
2618944237,1,2188122
4239396271,1,115165325
3040520566,3,62225679
2531112638,5,48299394
1580717285,2,44317050
1642154033,1,81367167
4401218677,2,108587657
3021091425,1,8300123
2374666491,1,76995093
2308917818,1,113090674
186828966,3,56439988
4297963562,1,8502238
4391643418,6,107549153
1967992539,2,6838083
2145436861,1,31875469
2121457848,2,77203232
2159412216,3,57870630
2024819585,1,116562535
4233496072,1,20219306
2011209714,1,99607052
2989772669,1,29121426
94937526,1,40429852
1984931095,1,107448012
2940166419,1,70564859
2260908050,1,75157732
2973949663,4,20459653
1969853028,2,105848859
4252298591,1,8136240
1984324817,3,49824378
2995294186,1,47793808
4393039360,2,12621817
3213366521,2,36352001
2902684588,1,36455838
4386748703,2,30440398
4394171940,29,74538400
2025455811,1,19175288
4231376587,3,118124851
2531843576,2,43570265
2355702912,1,12905325
4390269733,2,75040141
2395872756,2,18648755
2775095695,1,8630009
2023511195,1,47182650
4322709859,1,89245332
1626815719,1,73243417
2805975167,3,17118236
2527920888,1,24450349
1983248480,4,19512020
2461911227,4,120638409
4242511318,1,104869012
4388240468,2,70632713
2127907569,7,58406365
2625579299,1,53395794
2951164569,17,79733246
2793093654,1,87351202
1519868592,1,51118034
2910375183,1,11997142
2144713812,1,24350285
4244055564,1,105264823
2081509310,1,24514521
1979056477,6,105606848
2335520687,1,107450359
2955166637,1,38375675
3121172662,1,11183274
2785869346,2,73262164
