work_id,data_source_seq,data_source_id
2472992147,1,5
4378450167,1,2
1972122268,1,2
2048636120,1,2
4292807219,1,5
2001637058,1,2
3146625177,1,5
3173803509,1,2
4384652329,2,3
1537394014,1,2
2009372835,1,2
2145240677,1,2
1994044101,2,5
3146038032,1,2
2057627002,1,2
4291115134,1,2
4306780000,1,2
4297817220,1,2
4205864914,1,2
4234818839,1,2
2125300244,2,5
32226264,1,2
2806833247,1,2
2397698065,1,2
4319166333,1,2
2156946828,1,2
4225280480,1,2
2071282325,1,2
2019787565,2,5
4235621787,1,2
4214686336,2,4
2144928438,1,2
2042099127,2,5
4242926476,1,2
2651649775,3,5
2031889394,1,2
1554989913,1,2
3040425064,1,2
2422539142,1,5
3173815802,1,2
2156920197,2,5
1820017872,1,2
1980615632,1,2
2133258450,1,2
203748428,1,2
2170208169,1,2
2000108222,1,2
2130652360,2,5
1565825530,2,5
2999465545,2,4
4250025233,1,2
1991059160,1,2
4385903530,1,2
3049627567,2,5
2143311172,1,5
2085880518,1,2
3036648185,2,5
2902475841,1,2
4240207141,1,2
2028166329,1,2
2133305911,1,2
4392001009,1,2
3004899605,1,2
2012826930,2,5
2502387416,2,5
3134600069,2,4
2784142283,1,2
2314851227,1,2
4226034849,1,2
4243151125,1,2
4212788614,1,2
2108926890,2,4
4387090383,1,2
3157535326,2,5
2325752582,1,2
2122576391,1,2
2120495729,2,5
2119877220,2,5
2331119788,1,2
4395045490,1,2
4246396179,1,2
4399380544,1,2
4319321474,1,2
2397258418,1,5
2065834135,2,5
4253178691,1,2
2017543118,2,5
2486473439,1,2
2101456452,1,2
4307650408,2,5
4241880792,1,2
4232965991,1,2
2094630221,1,2
4285161401,1,2
4236718602,1,2
4280570842,2,3
1878959922,1,2
2101322001,2,5
2243504835,1,5
2783712961,1,4
2486665905,1,2
2334171920,1,5
2872128483,1,2
4380235609,1,2
3137330253,1,2
4235086802,1,2
4242795176,1,2
4251279709,1,2
4392516664,2,5
1581646390,1,2
4295009255,1,2
4281666176,1,2
2811238263,2,5
1537696947,1,2
3119258929,1,2
4206160809,1,2
2761583106,1,2
2158308550,1,2
4253651753,1,2
2182361829,2,5
2143646780,2,5
1967773974,1,2
4230886315,1,2
4238772872,1,2
2911250943,2,4
4313575622,2,5
2607208990,2,5
2949832995,1,2
2002565884,1,2
1565584374,1,2
4244562937,1,2
1965006971,1,2
2159230654,1,2
2094622050,1,2
4236763586,1,2
4401708276,1,2
4386554675,2,3
2090276258,1,2
2150384929,1,2
2008038329,2,5
4324066799,1,2
4366595693,1,2
658331516,1,2
4282963435,2,5
2127503123,1,2
3035955571,1,2
1943710697,1,2
4241626477,1,2
2769814404,1,2
2412386396,1,5
4391343880,1,2
4302317651,1,4
2403986102,1,5
3099893662,1,2
4256170582,1,2
1533120821,1,2
2073879450,2,5
2083702405,1,2
3122581689,1,2
4214567055,1,2
2115957751,1,2
2291668409,2,5
