work_id,mesh_seq,mesh_descriptor_ui,mesh_qualifier_ui,is_major_topic
1989659909,10,D001522,,0
2156597094,26,D019275,,0
1995137126,2,D005786,Q000502,1
2537717839,9,D001854,,0
2117774292,1,D004275,Q000187,1
1553525125,6,D001168,,0
3187021820,11,D008297,,0
2058449465,6,D013373,Q000494,1
1991984744,10,D004176,,0
3038869987,5,D006801,,0
2901709360,2,D017633,Q000378,1
4299486629,3,D002490,Q000503,0
2017361373,1,D009980,Q000302,1
2990551121,19,D020521,,0
2968493512,8,D000368,,0
2066398365,2,D001026,Q000706,1
2012474152,5,D016207,,0
2262100499,23,D014059,Q000502,0
2015228787,4,D006801,,0
2070672965,16,D008969,,0
2907087599,1,D000528,Q000302,1
2078529926,3,D002454,,1
2410671231,10,D006080,,0
2114395277,34,D010626,Q000494,0
2020516721,3,D010535,Q000379,1
2338729921,30,D012893,,0
2955499560,4,D066256,Q000821,1
2053734267,6,D002455,,0
2397816529,16,D009539,Q000737,0
2411811754,6,D019917,Q000295,1
4392109440,9,D010437,Q000150,0
3194024409,4,D020869,,0
2047737677,11,D002467,,0
2122792673,15,D009135,,0
65660030,14,D007908,,0
2197565080,14,D008297,,0
2394601995,4,D007700,,0
2411421695,6,D011247,,0
1976971509,8,D004108,,0
2007608333,12,D012611,,0
4220963671,5,D050197,Q000378,0
1533295609,5,D000818,,0
2146620271,7,D019295,,0
2025566459,10,D017408,,0
2046751792,3,D000273,,0
2090291173,9,D011817,,0
2441247120,6,D002648,,0
2022161750,1,D000975,Q000494,1
4392847283,9,D011247,,0
1930295298,2,D008593,Q000523,1
2917909130,17,D011479,,0
4387212624,1,D003920,,1
2411150378,6,D005260,,0
2060921999,20,D010212,Q000139,0
2051790908,5,D001943,,0
2411455848,11,D056486,Q000097,0
1515841354,2,D006498,Q000009,1
2186680124,7,D000368,,0
2065488378,10,D006801,,0
2344325503,8,D002117,,0
2030415601,5,D011571,,0
1976219776,2,D008401,Q000379,1
2084142228,4,D012343,Q000096,1
2084735903,6,D000369,,0
2069610679,11,D004965,,0
2943910842,18,D000962,Q000032,0
2118763136,18,D003702,Q000209,0
