author_id,institution_seq,institution_id
5003235766,2,2801403999
5066243728,2,207623266
5051761170,9,4210156466
5051475447,1,201448701
5013385387,6,147809708
5064510396,7,114832834
5082960122,2,2800088848
5101606928,4,4575257
5019978178,1,161127581
5106283603,1,25112270
5004307147,6,4210087042
5068501336,4,8204097
5089630435,8,63190737
5042688199,1,4210144716
5072729936,1,891191580
5078755468,2,2803043754
5067579951,1,68106152
5031525105,1,1294504835
5023344244,2,4210102222
5071195252,1,3018263800
5081081823,1,4210105568
5052735355,2,2802928900
5031978819,3,142204992
5072448509,1,4210103962
5017405396,2,2799600842
5021176556,1,877176835
5052536595,2,4210096131
5035335808,6,4210128862
5021536113,4,87707601
5005445708,1,82284825
5055799027,4,4210089172
5006133730,3,24354313
5047785939,1,881427289
5023678697,8,4210151606
5054709117,2,4210088493
5027216236,1,66946132
5060695127,1,208333798
5004173151,2,4210143137
5001299117,1,872922937
5029253548,1,4210157510
5061742998,1,1301991143
5095603180,1,149564915
5005188605,1,193662353
5060484506,4,121820613
5054249998,5,20089843
5086191163,1,4210094836
5082319608,1,2799351866
5060051721,1,157725225
5081894610,1,4210095736
5000073687,1,4210137425
5011330645,2,2800672702
5082734935,1,95694802
5090846112,1,137975476
5045545440,1,4210143651
5028936353,3,29607241
5075062390,1,68207295
5072548701,1,4210090597
5066011461,3,166401450
5033169969,4,97018004
5059506492,1,2801227569
5042843262,2,4210092814
5052391732,4,114030911
5039583456,2,4210153240
5060449567,1,171892758
5014275841,1,4210135398
5065707638,1,126744593
5017388644,1,4210131988
5072467061,8,865915315
5060416564,1,198091727
5020006331,4,158404207
5081759700,3,1294671590
5011578962,6,155093810
5020620817,4,4210092129
5044603645,2,136765683
5046448787,5,162577319
5013754753,1,186862513
5061333945,6,140172145
5040233160,4,4210098257
5025628825,2,161318765
5068088042,2,4210104856
5093078060,1,166722992
5019673662,8,157773358
5043238919,1,1330165540
5069965619,1,184843921
5074995363,7,39804081
5033120820,2,59411706
5102028011,8,4210149211
5082919942,1,158708052
5060683514,1,87445476
5041426352,4,192398990
5026159255,3,15059493
5100927479,8,4210140813
5066613723,2,135310074
5003628571,4,100063501
5100196490,1,197610006
5099786806,2,3133421993
5080778362,3,2800425949
5007342233,6,4210099593
5027216725,7,4210116243
5055379403,2,185203018
5086457301,3,2799392579
5085670378,2,4210101864
5102394436,5,921716337
5036944973,2,3123069486
5017926008,2,53411278
5033997121,2,4210128182
5091933511,1,62396329
5054055564,10,2801919071
5035962373,1,2802369498
5039297237,1,136830121
5102878736,5,91807558
5087320110,1,141595442
5037294543,3,94062374
5102496411,4,180726961
5039257077,3,4387155503
5101565905,7,160013858
5102391683,1,36243813
5017742056,1,150229711
5060858152,7,135310074
5088915384,10,131328143
5040964733,5,202697423
5045785177,2,200777214
5102426656,1,2800024422
5016837413,2,1313323035
5006939496,2,157650460
5041174987,1,302410947
5017664496,5,129604602
5027164730,6,4210163551
