work_id,author_seq,author_id,author_position_id,is_corresponding_author,raw_author_name_id
3203887594,2,5075981170,2,0,42165479
4389780081,1,5076005739,1,0,58736624
4397074549,3,5064583276,2,0,25217291
2383753134,1,5056632932,1,1,30493948
2976209335,5,5063427188,3,0,42799118
4244752434,1,5022423954,1,1,57478807
2569869423,1,5100619322,1,0,22046885
3027005951,1,5019920366,1,1,785475
4395070844,5,5018222452,3,0,10691143
1991373842,1,5053819038,1,0,32165715
4397497723,2,5053482132,2,0,38716623
2037722099,1,5073601459,1,0,53805264
2104493186,6,5056077142,3,0,39674989
1584317092,2,5000178855,2,0,1990908
2181396474,1,5024987430,1,0,42628117
2170132120,1023,5013003471,2,0,33254567
2792029102,1,5035153324,1,0,84412173
2806339640,1,5049622258,1,1,35804622
2802975381,6,5015893701,3,0,992032
4313414319,1,5055641541,1,0,83013990
4391270862,2,5036329483,3,0,43534077
1527080233,18,5036912363,3,0,42832730
3049384141,3,5057744094,3,0,1066183
1986379090,1,5097453899,1,0,101719922
1986148736,2,5034265602,3,0,30738563
2135606209,1,5071162260,1,0,21626547
2902941908,1,5016401805,1,1,55057906
2597250514,1,5035662201,1,1,50049531
2532289013,1,5057405182,1,0,66657701
3100799937,3,5060092176,2,0,66573474
1997552773,5,5085050614,3,0,75613667
2056747454,1,5044405314,1,0,42105336
2513156005,2133,5103208433,2,0,34028081
2400058753,1,5100533154,1,0,80201087
4289916391,7,5067449982,3,0,8397749
2271908039,2,5076910614,3,0,26552852
4400032671,3,5021775814,2,0,58298379
2352011694,1,5069995646,1,1,82931117
2315261670,1,5015052927,1,0,9431498
2590387012,1,5032354841,1,1,45417591
330028695,4,5011943818,3,0,18207580
835856518,3,5029158486,2,0,91813998
2104857911,3,5079224064,2,0,73881715
2594997617,1,5001970191,1,0,3998479
2963843154,8,5084611690,2,0,67410280
2595950523,3,5020440114,3,0,34492037
2413986554,3,5100461582,3,0,10007175
2273883694,5,5030420506,2,0,50034409
2157310273,2,5025279322,3,1,26223893
2168015517,1,5042559350,1,1,52796058
1971374519,9,5004101648,3,0,59603785
4320081879,3,5057555060,3,0,80951378
1966855094,3,5055528181,2,0,12664393
2046779774,2,5100854234,2,0,16222841
4298058635,3,5084958487,3,0,80905885
2044851258,7,5016205818,2,0,678096
2004234926,1,5034467077,1,0,30339675
175126830,9,5040206315,3,0,24787216
2595563129,1,5021974786,1,0,26197161
2319662295,1,5043597931,1,0,74220671
263704792,1,5066443188,1,1,90220520
3090080547,4,5010255839,2,0,28862335
2008176964,4,5100454382,2,0,81642727
4381054199,2,5084414892,3,0,53955266
1506918647,2,5038013125,2,0,45268681
3184308690,2,5045563218,2,0,9728096
2098605526,1,5007197725,1,1,6540324
3207662763,1,5086201206,1,0,9297501
3029080578,5,5050566545,3,0,92192932
2748380879,3,5100562989,2,0,30430099
3018986856,1,5062070101,1,1,35419281
2567991755,1,5045622894,1,1,56240535
2564438982,2,5076770164,3,0,39900288
4397163694,1,5002569757,1,0,73977388
2961797635,1,5022712285,1,0,40444900
4361950921,12,5037380188,2,0,35197851
3026486420,4,5038405064,2,0,27981183
25045178,3,5046818389,3,0,55333849
2580652093,1,5089135288,1,0,48302817
4229687290,2,5020502851,2,0,15679566
1584384566,1,5105775173,1,0,7208966
2552125222,1,5070251662,1,0,19782332
1489255022,5,5021785633,2,0,30044659
2037184710,4,5009840691,2,0,82198657
1999847588,3,5045147096,2,0,39684502
3194822224,2441,5101650729,2,0,25486396
3200874156,2,5045800711,3,0,81212795
3038208414,2,5030325399,3,0,84181054
2082718658,2,5072150322,2,0,72756226
4401719253,4,5033030418,3,0,10799676
2039789088,3,5052815735,2,0,16511921
2381700257,1,5039244698,1,0,45706501
4362535579,1,5015811427,1,0,16451156
2980453895,4,5091331097,2,0,73891205
2792238422,4,5069436353,3,0,31682095
4385316113,7,5005371033,2,1,5481442
