funder_id,alternative_name_seq,alternative_name
4320318618,2,Shenzhen Key Laboratory of Security Research of Power Batteries
4320322833,3,Lars Hierta Memorial Foundation
4320337222,3,Department of Clinical Medicine
4320323521,1,Malmö University
4320319584,1,National Water Research Institute of Malaysia
4320314177,1,TiDA
4320309637,1,MSU
4320309652,1,मिशिगन विश्वविद्यालय
4320329624,2,"Roche (Philippines), Inc. Diabetes Care"
4320320530,1,ANMM
4320307703,1,Sabin
4320324753,3,Bianca Garavaglia Association
4320312338,1,UIBE
4320337656,7,Army Medical Command
4320308585,1,Naropa's Center for the Advancement of Contemplative Education
4320329615,1,Hypo Tirol Bank AG
4320315301,4,RI Dept. of Transportation
4320336724,4,國防部軍醫局
4320315010,2,Kosciusko County Community Foundation Inc
4320313419,6,Fondation canadienne des relations raciales
4320306247,1,BCM
4320320955,2,香港浸會大學
4320330718,1,One Nation Principle
4320310481,2,The Ministry of Higher Education and Science
4320321086,1,DER
4320308082,16,"Parks, Recreation & Historic Preservation"
4320328073,2,CENTER FOR SOCIOLOGICAL RESEARCH
4320311118,7,Stichting Alport Syndroom
4320331991,2,NZSA
4320320060,2,Ashridge Business School
4320327887,1,MIRS
4320322441,2,OUH
4320318233,5,Nipro Corp.
4320330864,4,Geneseeq Technology Inc
4320335460,1,National Water Center
4320306550,2,"Wenner-Gren Foundation for Anthropological Research, Inc."
4320308869,2,The Dr. Ralph R. Chase West Texas Collection
4320322428,2,Norske Skogindustrier
4320308484,2,The American Society for Microbiology
4320310236,5,E. Rhodes & Leona B. Carpenter Foundation
4320331263,4,CENTRAL AGRICULTURAL UNIVERSITY IMPHAL
4320321372,1,KU
4320319624,5,Innocrin Pharmaceuticals Inc.
4320324576,2,Kidney Foundation Japan
4320334288,7,Arizona Health Sciences
4320319649,5,Korea Land and Housing Corporation (LH) of the Republic of Korea
4320321773,1,Fraunhofer Organization
4320310113,2,HU
4320318903,4,The Pedagogical and Technological University of Colombia
4320310603,1,Université de Bagdad
4320331555,1,"Sumitomo Dainippon Pharma Oncology, Inc."
4320332902,2,FAU Foundation
4320319837,3,OSHRI
4320323777,2,Association pour le Progrès des Communications
4320315221,6,"ASSOCIATION FOR THE HISTORY OF GLASS, LIMITED"
4320336787,3,INOS UMT
4320335146,1,FSSL
4320324965,5,"Bureau of Science and Technology, Hebei Province"
4320308606,2,NASA/NC Space Grant
4320333994,4,Faculty of Medicine and Pharmacy of Rabat
4320328576,1,French Academy
4320319666,2,Tennessee's department of education
4320308331,1,AAAS
4320328960,2,Guangdong Provincial Quality and Technical Supervision Bureau
4320308624,1,FF
4320328547,2,SIRO Clinpharm Pvt. Ltd
4320333244,1,UNCG
4320325294,1,Yazaki Sōgyō K.K.
4320313693,1,Valerion
4320314866,3,PGF-USA
4320331807,1,HFG
4320310811,4,Manitoba Medical Service Foundation Inc
4320332574,3,International Affairs
4320310410,1,CAFCE
4320325376,4,DST
4320315301,7,Rhode Island DOT
4320332064,2,(IMPRS) for Quantum Science and Technology
4320316744,3,"Audio Engineering Society, Inc."
4320330015,2,公益財団法人 鹿島学術振興財団
4320319000,2,The Halpin Foundation
4320336853,2,TMSI
4320331977,1,NSWRDN
4320312250,1,Association des Infirmières et Infirmiers Autorisés de l’Ontario
4320311417,1,YVW
4320317927,5,The Pennsylvania Lions Sight Conservation and Eye Research Foundation
4320328293,1,BI France
4320334054,1,"CALS, UA"
4320311409,4,VFW Auxiliary
4320318181,1,AIMST University
4320308566,2,Mandel Center
4320330793,3,Postdoctoral Science Planning Project of Hunan Province
4320332784,19,USDA
4320308430,2,New Music USA Inc.
4320327929,1,SCCER-SoE
4320321214,1,DSU
4320337236,7,Graduate School of Health at UTS
4320319846,1,Ohio BWC
4320318855,1,NIMHANS
4320338374,29,FP7-EURATOM-FISSION - EURATOM: Kernspaltung und Strahlenschutz
4320322005,1,MOSPA
4320333547,1,MATC
4320316739,2,SMC
4320328288,3,EFEO
4320306315,5,"Camille and Henry Dreyfus Foundation, Inc."
4320307510,2,AAAF
4320330323,2,首都经济贸易大学
4320324425,2,Family Hede Nielsen Foundation
4320316551,3,Mexican Center for Innovation in Geothermal Energy
4320334419,2,The Optica Foundation
4320309068,8,Deseret University
4320316169,1,POMWVL
4320337223,9,UTSFEIT
4320314602,3,The Autry
4320332932,3,Merck Sharp & Dohme
4320333934,5,Center for Research Computing
4320315195,1,MF
4320306470,2,The Elsa U. Pardee Foundation
4320310784,1,"University of Melbourne, Dookie"
4320307468,7,The Stony Wold-Herbert Fund
4320318257,2,Cambridge Isotope Laboratories Inc.
4320331625,3,Gauss Center For Supercomputing Gcs E.V.
