institution_id,funder_seq,funder_id
2800236056,1,4320312210
4210115238,1,4320309007
3167760959,1,4320320652
71395657,1,4320313845
157725225,6,4320337516
128993996,2,4320311691
4210149385,1,4320318261
92614990,1,4320325836
90745801,1,4320320964
90023481,1,4320335839
4210101196,1,4320307348
169108374,1,4320321919
4210166514,1,4320320776
4210112411,1,4320332590
168635309,4,4320334614
2802363410,1,4320322023
4210137693,1,4320307782
22675022,1,4320308480
4210123620,1,4320325114
4210148671,1,4320320500
3145373656,1,4320320691
4210093876,1,4320306536
4210160333,1,4320316121
4210105983,1,4320329719
197173980,1,4320311754
4210133543,1,4320318724
192396691,1,4320311490
192487284,2,4320311117
157913058,2,4320321600
4210150471,1,4320320643
2801228662,1,4320324962
4210137808,1,4320308232
135230010,1,4320325506
118073183,1,4320319635
865572129,1,4320329146
4210135165,1,4320323576
96062909,1,4320312866
99065089,1,4320322392
150468666,3,4320310095
4210162844,1,4320317268
4210153569,1,4320311424
4210128963,1,4320322700
166337079,2,4320320335
2800024054,1,4320307456
4210117062,1,4320338179
2800868911,1,4320314175
4210111640,1,4320335015
4575257,2,4320335275
4210147070,1,4320310790
2800754802,1,4320306409
31746571,3,4320321075
2800666027,1,4320324688
3130687028,1,4320332923
1306409833,1,4320307786
2802705668,7,4320338318
4210121721,1,4320324755
4210143525,1,4320309527
4923324,1,4320321773
4210090209,1,4320334748
2800387288,4,4320334680
173009982,1,4320322258
4210159531,1,4320308693
2801076334,2,4320323253
4210087686,1,4320330753
4210160455,1,4320316559
158239267,1,4320313969
4210093977,2,4320310663
31847773,1,4320325417
97429440,1,4320311617
2801662971,1,4320309936
4210155983,1,4320314130
19635904,1,4320333045
158108717,1,4320322143
127362389,1,4320317931
4210088257,1,4320322226
97018004,8,4320332438
2801473024,7,4320335028
4210103624,1,4320322983
4210108667,1,4320337486
4210106355,1,4320319047
4210155527,1,4320331128
4210101703,1,4320323979
4210149121,1,4320321942
4210096494,1,4320308208
135237710,1,4320322819
4210117189,1,4320321989
4362561690,113,4320328705
4210089784,1,4320327646
130701444,4,4320332657
198244214,1,4320323926
4210119147,1,4320315679
4210130419,1,4320323585
93173995,1,4320312332
4210115238,3,4320312136
2799412133,1,4320320839
4210097772,1,4320327300
4210152300,1,4320312570
90403955,1,4320332924
202697423,4,4320325160
4210150723,1,4320307018
83642850,1,4320318388
41867846,1,4320312810
67357951,1,4320331003
4210146295,1,4320325224
2800745477,1,4320325121
4210154195,1,4320330506
4210145918,1,4320329567
4210150528,1,4320319001
1283693164,1,4320306222
2800125567,1,4320330488
4210166705,1,4320313620
39534123,1,4320321317
4210126011,1,4320307704
